# G_M^* data
# t [GeV^2/c^2] | G_M^* | ΔG
Code,Abbrev,x,y,dy+,dy-
201,GMS,-6.0000,0.0134,0.0014,0.0014
201,GMS,-5.0000,0.0242,0.0014,0.0014
201,GMS,-4.2000,0.0346,0.0012,0.0012
201,GMS,-4.0000,0.0402,0.0019,0.0019
201,GMS,-3.5000,0.0524,0.0011,0.0011
201,GMS,-3.0000,0.0697,0.0010,0.0010
201,GMS,-2.8000,0.0859,0.0035,0.0035
201,GMS,-2.3400,0.1020,0.0082,0.0082
201,GMS,-1.8200,0.1122,0.0064,0.0064
201,GMS,-1.5700,0.2090,0.0115,0.0115
201,GMS,-1.4800,0.1728,0.0095,0.0095
201,GMS,-1.3400,0.2690,0.0121,0.0121
201,GMS,-1.1700,0.2708,0.0116,0.0116
201,GMS,-1.1500,0.3260,0.0147,0.0147
201,GMS,-0.9800,0.4460,0.0156,0.0156
201,GMS,-0.9700,0.4460,0.0156,0.0156
201,GMS,-0.7900,0.5530,0.0194,0.0194
201,GMS,-0.7800,0.5720,0.0172,0.0172
201,GMS,-0.7800,0.5007,0.0136,0.0136
201,GMS,-0.7700,0.5700,0.0200,0.0200
201,GMS,-0.6300,0.7350,0.0221,0.0221
201,GMS,-0.6300,0.7190,0.0252,0.0252
201,GMS,-0.6000,0.7660,0.0268,0.0268
201,GMS,-0.5000,0.9640,0.0289,0.0289
201,GMS,-0.4800,0.9610,0.0336,0.0336
201,GMS,-0.4700,0.9780,0.0293,0.0293
201,GMS,-0.4600,0.9147,0.0243,0.0243
201,GMS,-0.4000,1.1700,0.0351,0.0351
201,GMS,-0.3000,1.3800,0.0483,0.0483
201,GMS,-0.2200,1.5824,0.0332,0.0332
201,GMS,-0.2000,1.7700,0.0620,0.0620
201,GMS,-0.0900,2.2448,0.0709,0.0709
# EOF
