# R_EM data
# t [GeV^2/c^2] | R_EM in % | ΔR_EM
Code,Abbrev,x,y,dy+,dy-
202,REM,-6.0000,-3.8400,3.0325,3.0325
202,REM,-5.0000,-3.2300,1.5456,1.5456
202,REM,-4.2000,-3.1500,0.7280,0.7280
202,REM,-4.0000,-3.1000,1.3000,1.3000
202,REM,-3.5000,-1.0700,0.4805,0.4805
202,REM,-3.0000,-1.6100,0.4478,0.4478
202,REM,-2.8000,-2.0000,1.3000,1.3000
202,REM,-1.8000,-0.9000,1.3038,1.3038
202,REM,-1.4500,-2.4000,0.8062,0.8062
202,REM,-1.1500,-1.6000,0.5831,0.5831
202,REM,-0.9000,-1.8000,0.7211,0.7211
202,REM,-0.9000,-1.8000,0.5000,0.5000
202,REM,-0.7500,-2.1000,0.9220,0.9220
202,REM,-0.7500,-1.6000,0.7071,0.7071
202,REM,-0.6500,-1.9000,0.7071,0.7071
202,REM,-0.6500,-2.0000,0.5657,0.5657
202,REM,-0.5200,-1.6000,0.5657,0.5657
202,REM,-0.4000,-3.4000,0.5657,0.5657
202,REM,-0.2000,-1.9600,0.7940,0.7940
202,REM,-0.1270,-2.2000,0.9000,0.9000
202,REM,-0.1270,-2.3000,0.6708,0.6708
202,REM,-0.1260,-2.1000,2.0100,2.0100
202,REM,-0.0600,-2.2800,0.3523,0.3523
202,REM,0.0000,-3.0700,0.3538,0.3538
202,REM,0.0000,-2.5000,0.2236,0.2236
# EOF
