e,alpha,alphal,alphah
5.0000,0.0075,0.0075,0.0075
5.0026,0.0075,0.0075,0.0075
5.0052,0.0075,0.0075,0.0075
5.0077,0.0075,0.0075,0.0075
5.0103,0.0075,0.0075,0.0075
5.0129,0.0075,0.0075,0.0075
5.0155,0.0075,0.0075,0.0075
5.0181,0.0075,0.0075,0.0075
5.0206,0.0075,0.0075,0.0075
5.0232,0.0075,0.0075,0.0075
5.0258,0.0075,0.0075,0.0075
5.0284,0.0075,0.0075,0.0075
5.0310,0.0075,0.0075,0.0075
5.0336,0.0075,0.0075,0.0075
5.0362,0.0075,0.0075,0.0075
5.0388,0.0075,0.0075,0.0075
5.0414,0.0075,0.0075,0.0075
5.0440,0.0075,0.0075,0.0075
5.0466,0.0075,0.0075,0.0075
5.0492,0.0075,0.0075,0.0075
5.0518,0.0075,0.0075,0.0075
5.0544,0.0075,0.0075,0.0075
5.0570,0.0075,0.0075,0.0075
5.0596,0.0075,0.0075,0.0075
5.0622,0.0075,0.0075,0.0075
5.0648,0.0075,0.0075,0.0075
5.0674,0.0075,0.0075,0.0075
5.0700,0.0075,0.0075,0.0075
5.0726,0.0075,0.0075,0.0075
5.0752,0.0075,0.0075,0.0075
5.0779,0.0075,0.0075,0.0075
5.0805,0.0075,0.0075,0.0075
5.0831,0.0075,0.0075,0.0075
5.0857,0.0075,0.0075,0.0075
5.0883,0.0075,0.0075,0.0075
5.0910,0.0075,0.0075,0.0075
5.0936,0.0075,0.0075,0.0075
5.0962,0.0075,0.0075,0.0075
5.0988,0.0075,0.0075,0.0075
5.1015,0.0075,0.0075,0.0075
5.1041,0.0075,0.0075,0.0075
5.1067,0.0075,0.0075,0.0075
5.1093,0.0075,0.0075,0.0075
5.1120,0.0075,0.0075,0.0075
5.1146,0.0075,0.0075,0.0075
5.1172,0.0075,0.0075,0.0075
5.1199,0.0075,0.0075,0.0075
5.1225,0.0075,0.0075,0.0075
5.1252,0.0075,0.0075,0.0075
5.1278,0.0075,0.0075,0.0075
5.1304,0.0075,0.0075,0.0075
5.1331,0.0075,0.0075,0.0075
5.1357,0.0075,0.0075,0.0075
5.1384,0.0075,0.0075,0.0075
5.1410,0.0075,0.0075,0.0075
5.1437,0.0075,0.0075,0.0075
5.1463,0.0075,0.0075,0.0075
5.1490,0.0075,0.0075,0.0075
5.1516,0.0075,0.0075,0.0075
5.1543,0.0075,0.0075,0.0075
5.1569,0.0075,0.0075,0.0075
5.1596,0.0075,0.0075,0.0075
5.1622,0.0075,0.0075,0.0075
5.1649,0.0075,0.0075,0.0075
5.1676,0.0075,0.0075,0.0075
5.1702,0.0075,0.0075,0.0075
5.1729,0.0075,0.0075,0.0075
5.1756,0.0075,0.0075,0.0075
5.1782,0.0075,0.0075,0.0075
5.1809,0.0075,0.0075,0.0075
5.1836,0.0075,0.0075,0.0075
5.1862,0.0075,0.0075,0.0075
5.1889,0.0075,0.0075,0.0075
5.1916,0.0075,0.0075,0.0075
5.1943,0.0075,0.0075,0.0075
5.1969,0.0075,0.0075,0.0075
5.1996,0.0075,0.0075,0.0075
5.2023,0.0075,0.0075,0.0075
5.2050,0.0075,0.0075,0.0075
5.2076,0.0075,0.0075,0.0075
5.2103,0.0075,0.0075,0.0075
5.2130,0.0075,0.0075,0.0075
5.2157,0.0075,0.0075,0.0075
5.2184,0.0075,0.0075,0.0075
5.2211,0.0075,0.0075,0.0075
5.2238,0.0075,0.0075,0.0075
5.2265,0.0075,0.0075,0.0075
5.2292,0.0075,0.0075,0.0075
5.2318,0.0075,0.0075,0.0075
5.2345,0.0075,0.0075,0.0075
5.2372,0.0075,0.0075,0.0075
5.2399,0.0075,0.0075,0.0075
5.2426,0.0075,0.0075,0.0075
5.2453,0.0075,0.0075,0.0075
5.2480,0.0075,0.0075,0.0075
5.2507,0.0075,0.0075,0.0075
5.2534,0.0075,0.0075,0.0075
5.2562,0.0075,0.0075,0.0075
5.2589,0.0075,0.0075,0.0075
5.2616,0.0075,0.0075,0.0075
5.2643,0.0075,0.0075,0.0075
5.2670,0.0075,0.0075,0.0075
5.2697,0.0075,0.0075,0.0075
5.2724,0.0075,0.0075,0.0075
5.2751,0.0075,0.0075,0.0075
5.2779,0.0075,0.0075,0.0075
5.2806,0.0075,0.0075,0.0075
5.2833,0.0075,0.0075,0.0075
5.2860,0.0075,0.0075,0.0075
5.2887,0.0075,0.0075,0.0075
5.2915,0.0075,0.0075,0.0075
5.2942,0.0075,0.0075,0.0075
5.2969,0.0075,0.0075,0.0075
5.2996,0.0075,0.0075,0.0075
5.3024,0.0075,0.0075,0.0075
5.3051,0.0075,0.0075,0.0075
5.3078,0.0075,0.0075,0.0075
5.3106,0.0075,0.0075,0.0075
5.3133,0.0075,0.0075,0.0075
5.3161,0.0075,0.0075,0.0075
5.3188,0.0075,0.0075,0.0075
5.3215,0.0075,0.0075,0.0075
5.3243,0.0075,0.0075,0.0075
5.3270,0.0075,0.0075,0.0075
5.3298,0.0075,0.0075,0.0075
5.3325,0.0075,0.0075,0.0075
5.3353,0.0075,0.0075,0.0075
5.3380,0.0075,0.0075,0.0075
5.3408,0.0075,0.0075,0.0075
5.3435,0.0075,0.0075,0.0075
5.3463,0.0075,0.0075,0.0075
5.3490,0.0075,0.0075,0.0075
