sqrt(s) [MeV],sigma_bare_PiPiG [nb],err. sigma [nb],F_pi^2,err. F_pi^2,alphaRatio,alphaRatioL,alphaRatioH
602.5,288.3,15.2,6.9,0.4,1.00441,1.00436,1.00446
607.5,306.6,15.5,7.4,0.4,1.00425,1.0042,1.0043
612.5,332.8,16.3,8.2,0.4,1.00408,1.00403,1.00413
617.5,352.5,16.3,8.7,0.4,1.00391,1.00385,1.00396
622.5,367.7,16.6,9.2,0.4,1.00373,1.00367,1.00378
627.5,390.1,17.7,9.8,0.4,1.00354,1.00348,1.0036
632.5,408,18,10.4,0.5,1.00335,1.0033,1.00341
637.5,426.6,18.1,11,0.5,1.00316,1.0031,1.00321
642.5,453.5,19,11.8,0.5,1.00297,1.00291,1.00303
647.5,477.7,18.5,12.5,0.5,1.00278,1.00272,1.00284
652.5,497.4,19.5,13.2,0.5,1.00258,1.00252,1.00264
657.5,509.2,19.4,13.6,0.5,1.00239,1.00233,1.00245
662.5,543.4,19.9,14.7,0.5,1.00219,1.00213,1.00226
667.5,585,20.5,16,0.6,1.00202,1.00195,1.00208
672.5,642.7,22.2,17.7,0.6,1.00185,1.00178,1.00191
677.5,640.5,21,17.8,0.6,1.00168,1.00162,1.00175
682.5,668,21.9,18.8,0.6,1.00156,1.00149,1.00163
687.5,724.4,22.9,20.6,0.6,1.00145,1.00138,1.00152
692.5,783.5,23.2,22.5,0.7,1.0014,1.00132,1.00147
697.5,858.6,25.3,24.9,0.7,1.00139,1.00131,1.00146
702.5,893.8,25.4,26.2,0.7,1.00144,1.00137,1.00151
707.5,897.8,25,26.6,0.7,1.00155,1.00148,1.00163
712.5,978.6,26.6,29.3,0.8,1.00176,1.00168,1.00184
717.5,1059.1,27.9,32,0.8,1.00204,1.00196,1.00212
722.5,1086,28.3,33.2,0.9,1.00239,1.00231,1.00248
727.5,1088.4,27.7,33.6,0.9,1.00285,1.00276,1.00294
732.5,1158.8,29.2,36.2,0.9,1.00375,1.00367,1.00384
737.5,1206.5,29.6,38.2,0.9,1.00439,1.0043,1.00448
742.5,1229.9,29,39.3,0.9,1.00477,1.00466,1.00488
747.5,1263.3,30.3,40.9,1,1.00552,1.0054,1.00564
752.5,1276.1,29.8,41.8,1,1.00627,1.00612,1.00641
757.5,1315.9,31.3,43.6,1,1.00691,1.00675,1.00707
762.5,1339.3,30.9,44.8,1,1.00721,1.00702,1.0074
767.5,1331.9,30.8,45,1,1.00703,1.00679,1.00727
772.5,1327,30.6,45.2,1,1.006,1.00568,1.00632
777.5,1272.7,29.2,43.7,1,1.00512,1.00472,1.00551
782.5,1031.5,26.7,37.1,0.9,1.02337,1.02328,1.02347
787.5,810.7,24.2,30.3,0.8,1.03754,1.03706,1.03803
792.5,819.7,23.8,30.6,0.8,1.0326,1.03225,1.03296
797.5,803.1,23.3,30.1,0.8,1.02951,1.02924,1.02978
802.5,732.4,22.1,27.7,0.8,1.02776,1.02755,1.02796
807.5,679.9,20.6,25.9,0.7,1.02698,1.0268,1.02716
812.5,663.6,21,25.5,0.8,1.02644,1.02629,1.0266
817.5,622.2,19.9,24.1,0.7,1.02607,1.02594,1.0262
822.5,585,19.5,22.9,0.7,1.02582,1.0257,1.02593
827.5,540.8,18.1,21.4,0.7,1.02552,1.02541,1.02563
832.5,496.4,17.7,19.8,0.7,1.02524,1.02514,1.02533
837.5,450.4,16.8,18.1,0.6,1.02496,1.02486,1.02505
842.5,404.7,15.2,16.4,0.6,1.02466,1.02458,1.02475
847.5,391.3,15.4,16,0.6,1.02438,1.02429,1.02446
852.5,364,15,15,0.6,1.02409,1.02401,1.02417
857.5,339.6,14,14.2,0.6,1.0238,1.02371,1.02388
862.5,310,13.7,13,0.6,1.0235,1.02342,1.02358
867.5,283.8,13,12.1,0.5,1.0232,1.02312,1.02328
872.5,256.5,12.4,11,0.5,1.02289,1.02281,1.02297
877.5,237.3,11.4,10.3,0.5,1.02258,1.0225,1.02266
882.5,229.7,11.6,10,0.5,1.02226,1.02218,1.02234
887.5,224,11.6,9.9,0.5,1.02193,1.02185,1.02201
892.5,196.1,10.5,8.7,0.4,1.02161,1.02153,1.02169
897.5,175.9,9.7,7.9,0.4,1.02129,1.02121,1.02137
