E1 [GeV],E2 [GeV],E1+(E2-E1)/2,s [GeV^2],sigma [nb],err. sigma [nb] bare,alphaRatio,alphaRatioL,alphaRatioH
0.3000,0.3100,0.3050,0.0930,25.49044,2.69943,1.00713,1.00712,1.00714
0.3100,0.3200,0.3150,0.0992,35.48012,2.91464,1.00719,1.00718,1.00720
0.3200,0.3300,0.3250,0.1056,45.48580,3.04669,1.00725,1.00724,1.00726
0.3300,0.3400,0.3350,0.1122,51.78247,3.13355,1.00731,1.00730,1.00732
0.3400,0.3500,0.3450,0.1190,64.41565,3.49953,1.00734,1.00733,1.00735
0.3500,0.3600,0.3550,0.1260,75.21048,3.86247,1.00736,1.00735,1.00737
0.3600,0.3700,0.3650,0.1332,80.19985,3.87376,1.00737,1.00736,1.00738
0.3700,0.3800,0.3750,0.1406,86.38045,4.02805,1.00738,1.00737,1.00739
0.3800,0.3900,0.3850,0.1482,102.43807,4.31976,1.00738,1.00737,1.00739
0.3900,0.4000,0.3950,0.1560,104.70980,3.96803,1.00737,1.00736,1.00738
0.4000,0.4100,0.4050,0.1640,118.25201,4.09898,1.00735,1.00734,1.00736
0.4100,0.4200,0.4150,0.1722,118.00036,3.90209,1.00733,1.00731,1.00734
0.4200,0.4300,0.4250,0.1806,127.67479,4.17054,1.00729,1.00728,1.00731
0.4300,0.4400,0.4350,0.1892,129.27812,3.83703,1.00725,1.00724,1.00727
0.4400,0.4500,0.4450,0.1980,137.05648,4.08884,1.00720,1.00718,1.00722
0.4500,0.4600,0.4550,0.2070,138.77953,3.80708,1.00714,1.00712,1.00716
0.4600,0.4700,0.4650,0.2162,149.93345,4.05805,1.00706,1.00704,1.00708
0.4700,0.4800,0.4750,0.2256,161.27412,4.29024,1.00704,1.00702,1.00706
0.4800,0.4900,0.4850,0.2352,167.65932,4.29975,1.00688,1.00686,1.00690
0.4900,0.5000,0.4950,0.2450,170.77722,4.09567,1.00676,1.00673,1.00678
0.5000,0.5020,0.5010,0.2510,170.49035,4.94587,1.00668,1.00665,1.00670
0.5020,0.5040,0.5030,0.2530,173.41868,4.53398,1.00665,1.00662,1.00667
0.5040,0.5060,0.5050,0.2550,177.17188,4.50925,1.00662,1.00659,1.00664
0.5060,0.5080,0.5070,0.2570,175.92306,4.79673,1.00659,1.00656,1.00661
