E1 [GeV],E2 [GeV],E1+(E2-E1)/2,s [GeV^2],sigma [nb],err. sigma [nb],alphaRatio,alphaRatioL,alphaRatioH
0.3000,0.3200,0.3100,0.0961,29.6000,6.0000,1.00716,1.00715,1.00717
0.3200,0.3400,0.3300,0.1089,54.0000,7.8000,1.00728,1.00727,1.00729
0.3400,0.3600,0.3500,0.1225,74.3000,8.7000,1.00735,1.00734,1.00736
0.3600,0.3800,0.3700,0.1369,75.7000,8.6000,1.00738,1.00737,1.00739
0.3800,0.4000,0.3900,0.1521,99.7000,9.9000,1.00737,1.00736,1.00739
0.4000,0.4200,0.4100,0.1681,111.4000,10.7000,1.00734,1.00733,1.00735
0.4200,0.4400,0.4300,0.1849,123.4000,12.3000,1.00727,1.00726,1.00729
0.4400,0.4600,0.4500,0.2025,132.9000,11.3000,1.00717,1.00715,1.00719
0.4600,0.4800,0.4700,0.2209,150.9000,12.0000,1.00701,1.00699,1.00703
0.4800,0.5000,0.4900,0.2401,167.8000,12.4000,1.00682,1.00679,1.00684
0.5000,0.5200,0.5100,0.2601,176.0000,12.5000,1.00654,1.00651,1.00656
0.5200,0.5400,0.5300,0.2809,218.2000,14.1000,1.00621,1.00618,1.00624
0.5400,0.5600,0.5500,0.3025,224.5000,12.9000,1.00583,1.00579,1.00586
0.5600,0.5800,0.5700,0.3249,239.4000,12.6000,1.00538,1.00534,1.00542
0.5800,0.6000,0.5900,0.3481,297.8000,14.3000,1.00481,1.00477,1.00486
0.6000,0.6200,0.6100,0.3721,343.1000,14.9000,1.00417,1.00411,1.00422
0.6200,0.6400,0.6300,0.3969,420.8000,16.5000,1.00345,1.00339,1.00350
0.6400,0.6600,0.6500,0.4225,514.7000,18.0000,1.00268,1.00262,1.00274
0.6600,0.6800,0.6700,0.4489,617.3000,19.2000,1.00193,1.00187,1.00200
0.6800,0.7000,0.6900,0.4761,764.1000,21.6000,1.00142,1.00135,1.00149
0.7000,0.7200,0.7100,0.5041,956.8000,23.3000,1.00166,1.00158,1.00173
0.7200,0.7400,0.7300,0.5329,1175.6000,25.5000,1.00327,1.00319,1.00336
0.7400,0.7600,0.7500,0.5625,1276.7000,26.3000,1.00588,1.00574,1.00601
0.7600,0.7800,0.7700,0.5929,1353.3000,27.1000,1.00663,1.00636,1.00691
0.7800,0.8000,0.7900,0.6241,875.8000,21.0000,1.03513,1.03470,1.03555
0.8000,0.8200,0.8100,0.6561,687.7000,18.4000,1.02667,1.02651,1.02684
0.8200,0.8400,0.8300,0.6889,523.3000,16.0000,1.02538,1.02528,1.02548
0.8400,0.8600,0.8500,0.7225,376.2000,13.5000,1.02424,1.02415,1.02432
0.8600,0.8800,0.8700,0.7569,286.9000,11.6000,1.02305,1.02297,1.02313
0.8800,0.9000,0.8900,0.7921,204.5000,9.7000,1.02177,1.02169,1.02185
0.9000,0.9200,0.9100,0.8281,171.7000,8.9000,1.02050,1.02042,1.02058
0.9200,0.9400,0.9300,0.8649,119.7000,7.3000,1.01916,1.01907,1.01925
0.9400,0.9600,0.9500,0.9025,92.2000,6.4000,1.01755,1.01744,1.01766
0.9600,0.9800,0.9700,0.9409,74.3000,5.7000,1.01536,1.01521,1.01550
0.9800,1.0000,0.9900,0.9801,51.8000,4.7000,1.01125,1.01101,1.01149
