E [MeV],sigma [nb],err. sigma [nb],F_pi^2,err. F_pi^2
185.0000,605.0000,16.0000,2.0500,0.1200
195.0000,523.0000,17.0000,1.8300,0.1200
205.0000,476.0000,19.0000,1.9800,0.1400
215.0000,468.0000,14.0000,2.5200,0.1100
225.0000,412.0000,17.0000,2.6900,0.1500
235.0000,373.0000,16.0000,2.8300,0.1400
240.0000,329.0000,21.0000,3.0200,0.2000
250.0000,343.0000,25.0000,3.2400,0.2400
255.0000,336.0000,26.0000,3.8300,0.2500
260.0000,327.0000,25.0000,3.5200,0.2100
600.0000,0.0000,0.0000,7.8900,0.3300
630.0000,0.0000,0.0000,10.5300,0.2900
660.0000,0.0000,0.0000,14.2100,0.3400
690.0000,0.0000,0.0000,21.2700,0.4200
720.0000,0.0000,0.0000,31.9600,0.4100
750.0000,0.0000,0.0000,42.1300,0.6200
760.0000,0.0000,0.0000,43.6200,0.8300
764.0000,0.0000,0.0000,44.4800,0.7300
770.0000,0.0000,0.0000,44.1700,0.7400
774.0000,0.0000,0.0000,45.4600,0.5300
778.0000,0.0000,0.0000,44.5200,0.4200
780.0000,0.0000,0.0000,43.0000,0.5600
781.0000,0.0000,0.0000,41.4000,0.5300
782.0000,0.0000,0.0000,39.6400,0.2000
783.0000,0.0000,0.0000,36.4600,0.4200
784.0000,0.0000,0.0000,33.8000,0.3700
786.0000,0.0000,0.0000,31.2500,0.3800
790.0000,0.0000,0.0000,31.0500,0.6100
794.0000,0.0000,0.0000,30.6100,0.4800
800.0000,0.0000,0.0000,29.8200,0.3900
810.0000,0.0000,0.0000,26.7800,0.3800
820.0000,0.0000,0.0000,23.4400,0.2600
840.0000,0.0000,0.0000,17.8900,0.2000
880.0000,0.0000,0.0000,10.3700,0.1500
920.0000,0.0000,0.0000,6.7600,0.0900
940.0000,0.0000,0.0000,5.2000,0.1200
950.0000,0.0000,0.0000,4.7500,0.1000
958.0000,0.0000,0.0000,4.2600,0.0900
970.0000,0.0000,0.0000,3.9400,0.0900
