[GeV^2],sigma [nb],err. sigma [nb]
0.0930,25.49044,2.69943
0.0992,35.48012,2.91464
0.1056,45.48580,3.04669
0.1122,51.78247,3.13355
0.1190,64.41565,3.49953
0.1260,75.21048,3.86247
0.1332,80.19985,3.87376
0.1406,86.38045,4.02805
0.1482,102.43807,4.31976
0.1560,104.70980,3.96803
0.1640,118.25201,4.09898
0.1722,118.00036,3.90209
0.1806,127.67479,4.17054
0.1892,129.27812,3.83703
0.1980,137.05648,4.08884
0.2070,138.77953,3.80708
0.2162,149.93345,4.05805
0.2256,161.27412,4.29024
0.2352,167.65932,4.29975
0.2450,170.77722,4.09567
0.2510,170.49035,4.94587
0.2530,173.41868,4.53398
0.2550,177.17188,4.50925
0.2570,175.92306,4.79673
0.2591,176.44376,5.32704
0.2611,178.93981,5.10733
0.2632,188.55963,5.72383
0.2652,185.02557,5.34796
0.2673,187.88446,4.52075
0.2694,191.17260,4.83832
0.2714,186.69573,4.97632
0.2735,193.17676,5.58947
0.2756,199.50867,5.91304
0.2777,197.81429,4.73803
0.2798,202.52910,4.70092
0.2820,201.56705,5.89086
0.2841,205.39062,5.87140
0.2862,212.44100,5.04889
0.2884,217.83442,4.88096
0.2905,216.39526,5.23306
0.2927,222.31316,6.02197
0.2948,227.73989,5.73655
0.2970,225.00306,5.73778
0.2992,234.54154,6.23250
0.3014,235.78752,5.23052
0.3036,236.24479,5.65545
0.3058,235.05240,6.10188
0.3080,244.25782,6.03505
0.3102,241.29559,6.26508
0.3125,238.94439,4.88960
0.3147,247.56115,5.95113
0.3170,252.72927,6.22876
0.3192,254.06390,6.29356
0.3215,251.71134,5.89993
0.3238,263.51131,6.23737
0.3260,258.40753,5.95967
0.3283,257.72343,6.36086
0.3306,266.28274,5.16458
0.3329,276.45859,6.53556
0.3352,268.51607,6.16405
0.3376,278.69189,6.61913
0.3399,279.64724,5.81224
0.3422,287.12943,6.07523
0.3446,290.00708,5.74166
0.3469,289.45680,6.42293
0.3493,288.04814,5.95134
0.3516,301.11329,5.52231
0.3540,309.43503,6.95643
0.3564,321.70682,6.80183
0.3588,330.97345,7.60966
0.3612,325.41282,6.06285
0.3636,332.82247,5.21301
0.3660,336.63230,5.88944
0.3684,341.42771,6.67362
0.3709,344.51772,6.71287
0.3733,349.65904,5.70493
0.3758,353.20417,5.30912
0.3782,357.84372,6.82366
0.3807,366.57115,7.12967
0.3832,373.15205,5.35323
0.3856,377.67394,6.75055
0.3881,392.49515,6.66409
0.3906,389.93542,6.72768
0.3931,403.26607,7.19893
0.3956,409.29100,6.64353
0.3982,432.87237,7.16007
0.4007,432.31689,6.74057
0.4032,441.69342,7.32202
0.4058,447.30732,7.55775
0.4083,440.54282,7.26787
0.4109,462.62159,6.96407
0.4134,469.84247,7.75651
0.4160,473.89366,6.26555
0.4186,481.96533,7.71686
0.4212,506.77221,7.42557
0.4238,515.11971,7.32130
0.4264,521.88327,7.97169
0.4290,527.42105,8.10339
0.4316,538.88879,8.17683
0.4343,549.54126,8.30160
0.4369,556.21076,7.72668
0.4396,570.70416,8.09063
0.4422,586.91302,7.50127
0.4449,589.59548,7.81293
0.4476,602.80426,8.54057
0.4502,619.42896,8.63669
0.4529,646.47508,8.35179
0.4556,653.00707,9.22731
0.4583,670.38313,9.25269
0.4610,688.00206,9.06100
0.4638,704.23458,9.05242
0.4665,714.12204,9.62278
0.4692,738.79318,9.93198
0.4720,756.88629,9.10639
0.4747,762.36027,9.25970
0.4775,798.39878,10.47880
0.4802,802.30551,8.97791
0.4830,830.19277,9.59223
0.4858,852.33150,10.46680
0.4886,858.30057,10.48340
0.4914,875.29270,10.78170
0.4942,882.79633,11.08940
0.4970,905.02176,10.46560
0.4998,944.68860,11.46070
0.5027,943.54126,11.06810
0.5055,974.28913,11.76190
0.5084,1000.54725,11.75770
0.5112,1011.21021,12.20180
0.5141,1042.99867,11.85940
0.5170,1061.49113,11.54540
0.5198,1075.26115,12.72490
0.5227,1103.93204,12.95440
0.5256,1105.33212,12.65790
0.5285,1133.27514,11.62020
0.5314,1149.53582,13.10840
0.5344,1158.38465,12.44900
0.5373,1195.22869,12.57230
0.5402,1208.12010,13.65490
0.5432,1235.70723,12.32350
0.5461,1266.28763,14.21190
0.5491,1266.64171,12.45160
0.5520,1278.59271,14.20560
0.5550,1280.13513,12.50970
0.5580,1293.24419,14.35210
0.5610,1316.37608,14.29860
0.5640,1317.56288,13.07310
0.5670,1322.69003,13.69370
0.5700,1337.74471,13.77880
0.5730,1310.37952,14.41030
0.5761,1313.84767,13.27560
0.5791,1320.90855,13.86240
0.5822,1327.30978,13.32240
0.5852,1318.28028,13.73320
0.5883,1312.43458,12.97890
0.5914,1320.66649,14.59730
0.5944,1312.79290,14.48170
0.5975,1325.46269,14.47270
0.6006,1331.85956,14.71000
0.6037,1333.77284,14.80830
0.6068,1311.42161,12.97130
0.6100,1194.69516,13.50100
0.6131,985.96549,11.44790
0.6162,866.01369,10.15920
0.6194,831.70839,10.02970
0.6225,831.51149,9.75744
0.6257,822.41925,8.80198
0.6288,822.36304,8.95940
0.6320,829.93273,10.16550
