E [MeV],sigma [nb],err. sigma [nb],F_pi^2,err. F_pi^2
390.0000,116.3700,21.7800,2.3900,0.4500
410.0000,125.0600,18.9200,2.4600,0.3700
430.0000,109.2500,12.5400,2.1100,0.2400
440.0000,114.7500,15.5100,2.2200,0.3000
450.0000,140.4700,14.2400,2.7100,0.2800
470.0000,143.6100,13.2800,2.8100,0.2600
480.0000,165.6000,9.7200,3.2600,0.1900
500.0000,176.3200,10.9300,3.5500,0.2200
510.0000,175.3700,16.8100,3.5800,0.3400
520.0000,179.5500,10.4200,3.7200,0.2200
530.0000,202.3200,23.0400,4.2600,0.4900
540.0000,215.6100,13.7900,4.6200,0.3000
550.0000,221.0000,17.8300,4.8100,0.3900
560.0000,230.9100,12.6900,5.1200,0.2800
580.0000,261.4900,14.7800,6.0100,0.3400
600.0000,296.0600,10.9200,7.0800,0.2600
630.0000,398.6100,8.7300,10.1100,0.2200
660.0000,543.7500,6.2400,14.6600,0.1700
690.0000,764.5300,8.3100,21.9200,0.2400
720.0000,1060.1400,7.1100,32.3100,0.2200
750.0000,1291.9600,22.8000,41.8600,0.7400
760.0000,1308.4000,10.0800,43.2600,0.3300
764.0000,1304.4000,9.8000,43.4700,0.3300
770.0000,1302.1600,9.6700,43.9200,0.3300
774.0000,1331.5900,9.8700,45.2800,0.3400
778.0000,1314.3300,9.7800,45.0500,0.3400
780.0000,1233.5800,10.1700,42.4500,0.3500
781.0000,1161.6200,10.8400,40.0600,0.3700
782.0000,1106.6900,26.4400,38.2400,0.9100
783.0000,1022.4500,10.9900,35.4000,0.3800
784.0000,940.4200,19.1200,32.6200,0.6600
785.0000,887.6800,8.8100,30.8600,0.3100
786.0000,874.2300,7.4200,30.4500,0.2600
790.0000,855.5500,16.9800,30.0400,0.6000
794.0000,859.3500,7.1900,30.4100,0.2500
800.0000,822.6600,7.0500,29.4600,0.2500
810.0000,715.9400,6.2100,26.1500,0.2300
820.0000,622.5400,5.5400,23.1900,0.2100
840.0000,450.7000,4.1900,17.4600,0.1600
880.0000,246.3800,2.8000,10.3000,0.1200
920.0000,147.7800,5.1500,6.6600,0.2300
940.0000,115.1400,1.5700,5.3800,0.0700
950.0000,101.5200,1.9300,4.8300,0.0900
958.0000,91.3300,1.9600,4.4100,0.0900
970.0000,76.6800,1.7900,3.7800,0.0900
