# Data e+e- -> K+K-
# Source: BESIII, 2019-PR-D99-032001_Ablikim
# s [GeV^2], |F_K|^2, err. |F_K|^2, err. |F_K|^2
Code,Abbrev,x,y,dy+,dy-
50,Ablikim-19-2,4.0000,0.1021,0.0035,0.0035
50,Ablikim-19-2,4.2025,0.0878,0.0045,0.0045
50,Ablikim-19-2,4.4100,0.0666,0.0025,0.0025
50,Ablikim-19-2,4.5156,0.0593,0.0016,0.0016
50,Ablikim-19-2,4.6225,0.0539,0.0036,0.0036
50,Ablikim-19-2,4.7306,0.0590,0.0023,0.0023
50,Ablikim-19-2,4.8400,0.0744,0.0026,0.0026
50,Ablikim-19-2,4.9836,0.0843,0.0030,0.0030
50,Ablikim-19-2,5.3333,0.0635,0.0022,0.0022
50,Ablikim-19-2,5.6949,0.0367,0.0014,0.0014
50,Ablikim-19-2,5.7408,0.0371,0.0012,0.0012
50,Ablikim-19-2,6.2500,0.0341,0.0048,0.0048
50,Ablikim-19-2,6.9929,0.0237,0.0013,0.0013
50,Ablikim-19-2,7.0034,0.0240,0.0011,0.0011
50,Ablikim-19-2,7.2900,0.0158,0.0037,0.0037
50,Ablikim-19-2,7.8400,0.0173,0.0041,0.0041
50,Ablikim-19-2,8.4100,0.0145,0.0008,0.0008
50,Ablikim-19-2,8.7025,0.0125,0.0011,0.0011
50,Ablikim-19-2,8.8864,0.0139,0.0011,0.0011
50,Ablikim-19-2,9.0000,0.0122,0.0011,0.0011
50,Ablikim-19-2,9.1204,0.0124,0.0012,0.0012
50,Ablikim-19-2,9.4864,0.0118,0.0010,0.0010
# s [GeV^2], sigma [nb], err. sigma, err. sigma
60,Ablikim-19-2,4.0000,0.3515,0.0122,0.0122
60,Ablikim-19-2,4.2025,0.2961,0.0151,0.0151
60,Ablikim-19-2,4.4100,0.2206,0.0081,0.0081
60,Ablikim-19-2,4.5156,0.1920,0.0050,0.0050
60,Ablikim-19-2,4.6225,0.1717,0.0115,0.0115
60,Ablikim-19-2,4.7306,0.1842,0.0073,0.0073
60,Ablikim-19-2,4.8400,0.2314,0.0083,0.0083
60,Ablikim-19-2,4.9836,0.2532,0.0090,0.0090
60,Ablikim-19-2,5.3333,0.1840,0.0062,0.0062
60,Ablikim-19-2,5.6949,0.1015,0.0040,0.0040
60,Ablikim-19-2,5.7408,0.1026,0.0034,0.0034
60,Ablikim-19-2,6.2500,0.0881,0.0125,0.0125
60,Ablikim-19-2,6.9929,0.0566,0.0029,0.0029
60,Ablikim-19-2,7.0034,0.0567,0.0025,0.0025
60,Ablikim-19-2,7.2900,0.0363,0.0085,0.0085
60,Ablikim-19-2,7.8400,0.0379,0.0090,0.0090
60,Ablikim-19-2,8.4100,0.0304,0.0017,0.0017
60,Ablikim-19-2,8.7025,0.0253,0.0024,0.0024
60,Ablikim-19-2,8.8864,0.0280,0.0023,0.0023
60,Ablikim-19-2,9.0000,0.0244,0.0023,0.0023
60,Ablikim-19-2,9.1204,0.0248,0.0023,0.0023
60,Ablikim-19-2,9.4864,0.0253,0.0023,0.0023
# EOF
