# Data e+e- -> K+K-(gamma)
# Source: BABAR, 2013-PR-D88-032013_Lees + supplement material
# s [GeV^2], |F_K|^2, err. |F_K|^2, err. |F_K|^2
Code,Abbrev,x,y,dy+,dy-
50,Lees-13-K,0.9752,74.8979,501.6040,501.6040
50,Lees-13-K,0.9851,24.1007,20.7459,20.7459
50,Lees-13-K,0.9950,49.6448,9.9155,9.9155
50,Lees-13-K,1.0010,80.4645,12.7609,12.7609
50,Lees-13-K,1.0030,55.4932,10.9842,10.9842
50,Lees-13-K,1.0050,89.5983,11.3591,11.3591
50,Lees-13-K,1.0070,74.3500,10.5341,10.5341
50,Lees-13-K,1.0090,98.7423,10.5849,10.5849
50,Lees-13-K,1.0110,132.7470,10.7390,10.7390
50,Lees-13-K,1.0130,175.6770,10.6797,10.6797
50,Lees-13-K,1.0151,169.0530,10.2430,10.2430
50,Lees-13-K,1.0171,211.1530,10.2733,10.2733
50,Lees-13-K,1.0191,255.4370,10.3305,10.3305
50,Lees-13-K,1.0211,308.1290,9.9935,9.9935
50,Lees-13-K,1.0231,449.9420,10.4173,10.4173
50,Lees-13-K,1.0252,533.9810,10.7743,10.7743
50,Lees-13-K,1.0272,689.0990,10.9057,10.9057
50,Lees-13-K,1.0292,973.3030,11.5246,11.5246
50,Lees-13-K,1.0312,1482.6200,12.3201,12.3201
50,Lees-13-K,1.0333,2184.8800,13.2307,13.2307
50,Lees-13-K,1.0353,3625.2300,13.9755,13.9755
50,Lees-13-K,1.0373,5404.3700,15.9864,15.9864
50,Lees-13-K,1.0394,6304.5300,16.9596,16.9596
50,Lees-13-K,1.0414,4926.1800,16.0397,16.0397
50,Lees-13-K,1.0435,3038.8100,12.9742,12.9742
50,Lees-13-K,1.0455,2062.0400,11.1453,11.1453
50,Lees-13-K,1.0476,1321.0900,10.1559,10.1559
50,Lees-13-K,1.0496,1006.2700,9.0721,9.0721
50,Lees-13-K,1.0517,736.1290,8.2699,8.2699
50,Lees-13-K,1.0537,582.7110,7.3258,7.3258
50,Lees-13-K,1.0558,417.7920,6.3102,6.3102
50,Lees-13-K,1.0578,364.9170,6.3166,6.3166
50,Lees-13-K,1.0599,301.8940,5.8778,5.8778
50,Lees-13-K,1.0619,276.2810,5.3253,5.3253
50,Lees-13-K,1.0640,213.8610,5.0881,5.0881
50,Lees-13-K,1.0661,193.0130,4.8371,4.8371
50,Lees-13-K,1.0681,156.4420,4.4957,4.4957
50,Lees-13-K,1.0702,143.4650,4.3326,4.3326
50,Lees-13-K,1.0723,121.7710,4.0220,4.0220
50,Lees-13-K,1.0743,110.5630,3.8335,3.8335
50,Lees-13-K,1.0764,114.5080,3.6139,3.6139
50,Lees-13-K,1.0785,88.8809,3.4779,3.4779
50,Lees-13-K,1.0806,76.7725,3.2543,3.2543
50,Lees-13-K,1.0868,67.6461,1.9530,1.9530
50,Lees-13-K,1.0973,48.7312,1.6782,1.6782
50,Lees-13-K,1.1078,34.5162,1.4188,1.4188
50,Lees-13-K,1.1183,26.2988,1.2420,1.2420
50,Lees-13-K,1.1289,22.2580,1.1062,1.1062
50,Lees-13-K,1.1396,18.7755,0.9956,0.9956
50,Lees-13-K,1.1503,15.1501,0.8912,0.8912
50,Lees-13-K,1.1610,14.1970,0.8396,0.8396
50,Lees-13-K,1.1718,12.8672,0.7756,0.7756
50,Lees-13-K,1.1827,10.4359,0.7026,0.7026
50,Lees-13-K,1.1936,9.9373,0.6734,0.6734
50,Lees-13-K,1.2045,8.6802,0.6285,0.6285
50,Lees-13-K,1.2321,7.0156,0.3677,0.3677
50,Lees-13-K,1.2769,5.1155,0.3035,0.3035
50,Lees-13-K,1.3225,4.1175,0.2633,0.2633
50,Lees-13-K,1.3689,3.3108,0.2317,0.2317
50,Lees-13-K,1.4161,2.9211,0.2109,0.2109
50,Lees-13-K,1.4641,2.6005,0.1967,0.1967
50,Lees-13-K,1.5129,2.1288,0.1794,0.1794
50,Lees-13-K,1.5625,2.3152,0.1728,0.1728
50,Lees-13-K,1.6129,1.9053,0.1592,0.1592
50,Lees-13-K,1.6641,1.7718,0.1503,0.1503
50,Lees-13-K,1.7161,1.6143,0.1428,0.1428
50,Lees-13-K,1.7689,1.5255,0.1374,0.1374
50,Lees-13-K,1.8225,1.3555,0.1299,0.1299
50,Lees-13-K,1.8769,1.2623,0.1250,0.1250
50,Lees-13-K,1.9321,1.3230,0.1241,0.1241
50,Lees-13-K,1.9881,1.1182,0.1177,0.1177
50,Lees-13-K,2.0449,1.0844,0.1147,0.1147
50,Lees-13-K,2.1025,1.0381,0.1127,0.1127
50,Lees-13-K,2.1609,0.9422,0.1094,0.1094
50,Lees-13-K,2.2201,0.8659,0.1062,0.1062
50,Lees-13-K,2.2801,0.8978,0.1065,0.1065
50,Lees-13-K,2.3409,0.7995,0.1038,0.1038
50,Lees-13-K,2.4025,0.7607,0.1028,0.1028
50,Lees-13-K,2.4649,0.8195,0.1034,0.1034
50,Lees-13-K,2.5281,0.8025,0.1024,0.1024
50,Lees-13-K,2.5921,0.7252,0.1008,0.1008
50,Lees-13-K,2.6569,0.6720,0.0990,0.0990
50,Lees-13-K,2.7225,0.6323,0.0970,0.0970
50,Lees-13-K,2.7889,0.4778,0.0917,0.0917
50,Lees-13-K,2.8561,0.2988,0.0826,0.0826
50,Lees-13-K,2.9241,0.2152,0.0756,0.0756
50,Lees-13-K,2.9929,0.2222,0.0761,0.0761
50,Lees-13-K,3.0625,0.1401,0.0696,0.0696
50,Lees-13-K,3.1329,0.0869,0.0629,0.0629
50,Lees-13-K,3.2041,0.0357,0.0534,0.0534
50,Lees-13-K,3.2761,0.0571,0.0562,0.0562
50,Lees-13-K,3.3489,0.0802,0.0618,0.0618
50,Lees-13-K,3.4225,0.0548,0.0575,0.0575
50,Lees-13-K,3.4969,0.0881,0.0630,0.0630
50,Lees-13-K,3.5721,0.0650,0.0602,0.0602
50,Lees-13-K,3.6481,0.0927,0.0663,0.0663
50,Lees-13-K,3.7249,0.0921,0.0665,0.0665
50,Lees-13-K,3.8025,0.0932,0.0671,0.0671
50,Lees-13-K,3.8809,0.0979,0.0685,0.0685
50,Lees-13-K,3.9601,0.0830,0.0668,0.0668
50,Lees-13-K,4.0401,0.1086,0.0698,0.0698
50,Lees-13-K,4.1209,0.0944,0.0672,0.0672
50,Lees-13-K,4.2025,0.0572,0.0621,0.0621
50,Lees-13-K,4.2849,0.0874,0.0666,0.0666
50,Lees-13-K,4.3681,0.0467,0.0609,0.0609
50,Lees-13-K,4.4521,0.0584,0.0628,0.0628
50,Lees-13-K,4.5369,0.0695,0.0653,0.0653
50,Lees-13-K,4.6225,0.0443,0.0585,0.0585
50,Lees-13-K,4.7089,0.0316,0.0566,0.0566
50,Lees-13-K,4.7961,0.0705,0.0674,0.0674
50,Lees-13-K,4.8841,0.0753,0.0678,0.0678
50,Lees-13-K,4.9729,0.0833,0.0709,0.0709
50,Lees-13-K,5.0625,0.1036,0.0719,0.0719
50,Lees-13-K,5.1529,0.0437,0.0600,0.0600
50,Lees-13-K,5.2441,0.0909,0.0705,0.0705
50,Lees-13-K,5.3361,0.0735,0.0689,0.0689
50,Lees-13-K,5.4289,0.0523,0.0650,0.0650
50,Lees-13-K,5.5225,0.0358,0.0602,0.0602
50,Lees-13-K,5.6169,0.0568,0.0654,0.0654
50,Lees-13-K,5.7121,0.0280,0.0561,0.0561
