# Data e+e- -> K+K-
# Source: CMD-2, 1995-PL-B364-199_Akhmetshin
# s [GeV^2], sigma [nb], err. sigma, err. sigma
Code,Abbrev,x,y,dy+,dy-
60,Akhmetshin-95,1.0173,50.0000,50.0000,50.0000
60,Akhmetshin-95,1.0280,222.0000,54.0000,54.0000
60,Akhmetshin-95,1.0337,713.0000,114.0000,114.0000
60,Akhmetshin-95,1.0348,897.0000,134.0000,134.0000
60,Akhmetshin-95,1.0356,1224.0000,135.0000,135.0000
60,Akhmetshin-95,1.0362,1236.0000,134.0000,134.0000
60,Akhmetshin-95,1.0363,1477.0000,86.0000,86.0000
60,Akhmetshin-95,1.0370,1844.0000,143.0000,143.0000
60,Akhmetshin-95,1.0380,1852.0000,219.0000,219.0000
60,Akhmetshin-95,1.0385,2317.0000,166.0000,166.0000
60,Akhmetshin-95,1.0393,2152.0000,272.0000,272.0000
60,Akhmetshin-95,1.0397,1939.0000,347.0000,347.0000
60,Akhmetshin-95,1.0440,973.0000,126.0000,126.0000
60,Akhmetshin-95,1.0446,719.0000,104.0000,104.0000
60,Akhmetshin-95,1.0568,161.0000,25.0000,25.0000
# Source: CMD-2, 2008-PL-B669-3-217_Akhmetshin
# s [GeV^2], sigma [nb], err. sigma, err. sigma
60,Akhmetshin-08,1.0233,83.5700,5.8900,5.8900
60,Akhmetshin-08,1.0325,549.2000,7.4700,7.4700
60,Akhmetshin-08,1.0343,853.4500,10.3300,10.3300
60,Akhmetshin-08,1.0363,1389.7800,12.6400,12.6400
60,Akhmetshin-08,1.0388,2020.0400,11.9400,11.9400
60,Akhmetshin-08,1.0406,1825.5100,13.8300,13.8300
60,Akhmetshin-08,1.0424,1333.8700,13.1200,13.1200
60,Akhmetshin-08,1.0441,917.5700,12.4600,12.4600
60,Akhmetshin-08,1.0460,626.1600,15.1100,15.1100
60,Akhmetshin-08,1.0575,143.8000,10.4000,10.4000
60,Akhmetshin-08,1.0693,70.5000,7.5400,7.5400
60,Akhmetshin-08,1.0228,75.7200,5.8200,5.8200
60,Akhmetshin-08,1.0323,503.7600,10.7700,10.7700
60,Akhmetshin-08,1.0345,889.0800,10.7300,10.7300
60,Akhmetshin-08,1.0364,1423.2300,25.5200,25.5200
60,Akhmetshin-08,1.0381,1951.2300,24.9800,24.9800
60,Akhmetshin-08,1.0397,1971.8700,12.5100,12.5100
60,Akhmetshin-08,1.0419,1435.0300,18.1700,18.1700
60,Akhmetshin-08,1.0440,933.6900,14.4300,14.4300
60,Akhmetshin-08,1.0459,606.5500,16.9900,16.9900
