# Data e+e- -> K+K-
# Source: SND, 2001-PR-D63-072002_Achasov
# s [GeV^2], sigma [nb], err. sigma, err. sigma
Code,Abbrev,x,y,dy+,dy-
60,Achasov-01,1.0204,48.1000,13.7315,13.7315
60,Achasov-01,1.0317,409.0000,35.4310,35.4310
60,Achasov-01,1.0336,717.1000,60.2954,60.2954
60,Achasov-01,1.0355,1112.0000,94.4281,94.4281
60,Achasov-01,1.0379,1794.1000,142.9160,142.9160
60,Achasov-01,1.0400,1898.1000,146.2848,146.2848
60,Achasov-01,1.0417,1471.9000,117.8623,117.8623
60,Achasov-01,1.0438,928.4000,75.9359,75.9359
60,Achasov-01,1.0471,514.4000,41.6400,41.6400
60,Achasov-01,1.0573,161.1000,12.9163,12.9163
60,Achasov-01,1.0688,72.9000,5.9330,5.9330
60,Achasov-01,1.0807,47.4000,3.9148,3.9148
60,Achasov-01,1.1021,29.0000,2.5474,2.5474
60,Achasov-01,1.1229,18.6000,1.7844,1.7844
60,Achasov-01,1.0208,38.7000,13.0916,13.0916
60,Achasov-01,1.0311,354.2000,30.4676,30.4676
60,Achasov-01,1.0338,734.7000,62.3754,62.3754
60,Achasov-01,1.0358,1181.8000,100.1629,100.1629
60,Achasov-01,1.0376,1726.7000,139.1379,139.1379
60,Achasov-01,1.0394,1946.2000,149.3608,149.3608
60,Achasov-01,1.0413,1639.6000,129.5295,129.5295
60,Achasov-01,1.0433,1087.2000,87.9734,87.9734
60,Achasov-01,1.0451,672.9000,56.3079,56.3079
60,Achasov-01,1.0558,179.6000,14.4987,14.4987
60,Achasov-01,1.0683,79.9000,6.3712,6.3712
60,Achasov-01,1.0809,48.7000,3.9453,3.9453
60,Achasov-01,1.1017,31.2000,2.6753,2.6753
60,Achasov-01,1.1226,20.9000,1.9084,1.9084
# Data e+e- -> K+K-
# Source: SND, 2001-PR-D63-072002_Achasov
# s [GeV^2], sigma bare [nb], err. sigma bare, err. sigma bare
62,Achasov-01,1.0204,49.0230,13.9950,13.9950
62,Achasov-01,1.0317,441.4571,38.2427,38.2427
62,Achasov-01,1.0336,782.4341,65.7888,65.7888
62,Achasov-01,1.0355,1200.6579,101.9567,101.956
62,Achasov-01,1.0379,1839.1471,146.5044,146.5048
62,Achasov-01,1.0400,1738.5054,133.9850,133.9859
62,Achasov-01,1.0417,1276.5645,102.2208,102.2202
62,Achasov-01,1.0438,795.2023,65.0414,65.0414
62,Achasov-01,1.0471,449.4547,36.3828,36.3828
62,Achasov-01,1.0573,146.5000,11.7457,11.7457
62,Achasov-01,1.0688,67.6071,5.5022,5.5022
62,Achasov-01,1.0807,44.4105,3.6679,3.6679
62,Achasov-01,1.1021,27.4240,2.4090,2.4090
62,Achasov-01,1.1229,17.6685,1.6950,1.6950
62,Achasov-01,1.0208,39.4995,13.3620,13.3620
62,Achasov-01,1.0311,380.3555,32.7174,32.7174
62,Achasov-01,1.0338,800.2918,67.9441,67.9441
62,Achasov-01,1.0358,1269.4548,107.5920,107.592
62,Achasov-01,1.0376,1795.8115,144.7069,144.7064
62,Achasov-01,1.0394,1842.8304,141.4277,141.4273
62,Achasov-01,1.0413,1434.7124,113.3432,113.3436
62,Achasov-01,1.0433,929.7048,75.2293,75.2293
62,Achasov-01,1.0451,579.5586,48.4971,48.4971
62,Achasov-01,1.0558,162.4589,13.1149,13.1149
62,Achasov-01,1.0683,74.0481,5.9046,5.9046
62,Achasov-01,1.0809,45.6338,3.6969,3.6969
62,Achasov-01,1.1017,29.5015,2.5297,2.5297
62,Achasov-01,1.1226,19.8523,1.8127,1.8127
# Data e+e- -> K^0_S K^0_L (charged and neutral modes)
# Source: SND, 2001-PR-D63-072002_Achasov
# s [GeV^2], sigma [nb], err. sigma, err. sigma
61,Achasov-01,1.0078,7.7000,3.0158,3.0158
61,Achasov-01,1.0204,45.2000,6.3623,6.3623
61,Achasov-01,1.0317,315.5000,23.8182,23.8182
61,Achasov-01,1.0336,525.5000,33.2014,33.2014
61,Achasov-01,1.0355,836.3000,50.3269,50.3269
61,Achasov-01,1.0379,1324.7000,66.6325,66.6325
61,Achasov-01,1.0400,1388.4000,66.2924,66.2924
61,Achasov-01,1.0417,1053.0000,55.1494,55.1494
61,Achasov-01,1.0438,648.0000,38.8953,38.8953
61,Achasov-01,1.0471,352.0000,21.8435,21.8435
61,Achasov-01,1.0573,103.0000,8.1225,8.1225
61,Achasov-01,1.0688,45.1000,4.3880,4.3880
61,Achasov-01,1.0807,28.3000,3.3017,3.3017
61,Achasov-01,1.1021,13.3000,2.2479,2.2479
61,Achasov-01,1.1229,17.0000,3.4731,3.4731
61,Achasov-01,1.0078,7.7000,1.0510,1.0510
61,Achasov-01,1.0204,34.0000,3.1431,3.1431
61,Achasov-01,1.0317,294.5000,18.1627,18.1627
61,Achasov-01,1.0336,513.1000,29.8123,29.8123
61,Achasov-01,1.0355,809.1000,47.0217,47.0217
61,Achasov-01,1.0379,1295.0000,63.9841,63.9841
61,Achasov-01,1.0400,1372.4000,62.3993,62.3993
61,Achasov-01,1.0417,1051.9000,53.5719,53.5719
61,Achasov-01,1.0438,667.2000,35.8126,35.8126
61,Achasov-01,1.0471,359.5000,19.1016,19.1016
61,Achasov-01,1.0573,108.1000,6.0509,6.0509
61,Achasov-01,1.0688,52.0000,3.0298,3.0298
61,Achasov-01,1.0807,31.0000,2.0261,2.0261
61,Achasov-01,1.1021,16.4000,1.2387,1.2387
61,Achasov-01,1.1229,11.0000,0.9764,0.9764
61,Achasov-01,1.0074,7.4000,2.9151,2.9151
61,Achasov-01,1.0208,40.0000,6.5000,6.5000
61,Achasov-01,1.0311,288.3000,20.7081,20.7081
61,Achasov-01,1.0338,564.0000,35.2614,35.2614
61,Achasov-01,1.0358,923.1000,54.0706,54.0706
61,Achasov-01,1.0376,1337.1000,68.4385,68.4385
61,Achasov-01,1.0394,1473.8000,68.4063,68.4063
61,Achasov-01,1.0413,1193.1000,60.5097,60.5097
61,Achasov-01,1.0433,757.5000,44.4335,44.4335
61,Achasov-01,1.0451,465.9000,30.7823,30.7823
61,Achasov-01,1.0558,123.8000,9.2392,9.2392
61,Achasov-01,1.0683,55.4000,4.7488,4.7488
61,Achasov-01,1.0809,27.3000,3.1941,3.1941
61,Achasov-01,1.1017,15.0000,2.2935,2.2935
61,Achasov-01,1.1226,14.0000,3.1311,3.1311
61,Achasov-01,1.0074,6.7000,1.0388,1.0388
61,Achasov-01,1.0208,33.7000,3.0485,3.0485
61,Achasov-01,1.0311,265.9000,15.8164,15.8164
61,Achasov-01,1.0338,532.6000,31.1652,31.1652
61,Achasov-01,1.0358,875.1000,50.1366,50.1366
61,Achasov-01,1.0376,1268.5000,64.4680,64.4680
61,Achasov-01,1.0394,1426.3000,63.6798,63.6798
61,Achasov-01,1.0413,1165.2000,57.7176,57.7176
61,Achasov-01,1.0433,767.0000,40.5935,40.5935
61,Achasov-01,1.0451,475.4000,26.6826,26.6826
61,Achasov-01,1.0558,125.3000,6.7331,6.7331
61,Achasov-01,1.0683,54.8000,3.0492,3.0492
61,Achasov-01,1.0809,29.6000,1.9146,1.9146
61,Achasov-01,1.1017,17.5000,1.2650,1.2650
61,Achasov-01,1.1226,11.7000,0.9907,0.9907
# Data e+e- -> K^0_S K^0_L (charged and neutral modes)
# Source: SND, 2001-PR-D63-072002_Achasov
# s [GeV^2], sigma bare [nb], err. sigma bare, err. sigma bare
63,Achasov-01,1.0078,7.6656,3.0023,3.0023
63,Achasov-01,1.0204,46.0674,6.4844,6.4844
63,Achasov-01,1.0317,340.5372,25.7083,25.7083
63,Achasov-01,1.0336,573.3777,36.2263,36.2263
63,Achasov-01,1.0355,902.9768,54.3394,54.3394
63,Achasov-01,1.0379,1357.9612,68.3055,68.3055
63,Achasov-01,1.0400,1271.6616,60.7185,60.7185
63,Achasov-01,1.0417,913.2566,47.8305,47.8305
63,Achasov-01,1.0438,555.0314,33.3150,33.3150
63,Achasov-01,1.0471,307.5584,19.0857,19.0857
63,Achasov-01,1.0573,93.6654,7.3864,7.3864
63,Achasov-01,1.0688,41.8255,4.0694,4.0694
63,Achasov-01,1.0807,26.5152,3.0935,3.0935
63,Achasov-01,1.1021,12.5772,2.1257,2.1257
63,Achasov-01,1.1229,16.1486,3.2992,3.2992
63,Achasov-01,1.0078,7.6656,1.0463,1.0463
63,Achasov-01,1.0204,34.6525,3.2034,3.2034
63,Achasov-01,1.0317,317.8707,19.6040,19.6040
63,Achasov-01,1.0336,559.8479,32.5285,32.5285
63,Achasov-01,1.0355,873.6082,50.7707,50.7707
63,Achasov-01,1.0379,1327.5155,65.5906,65.5906
63,Achasov-01,1.0400,1257.0069,57.1527,57.1527
63,Achasov-01,1.0417,912.3026,46.4624,46.4624
63,Achasov-01,1.0438,571.4767,30.6746,30.6746
63,Achasov-01,1.0471,314.1115,16.6899,16.6899
63,Achasov-01,1.0573,98.3032,5.5025,5.5025
63,Achasov-01,1.0688,48.2246,2.8098,2.8098
63,Achasov-01,1.0807,29.0449,1.8983,1.8983
63,Achasov-01,1.1021,15.5088,1.1714,1.1714
63,Achasov-01,1.1229,10.4491,0.9275,0.9275
63,Achasov-01,1.0074,7.3628,2.9005,2.9005
63,Achasov-01,1.0208,40.8263,6.6343,6.6343
63,Achasov-01,1.0311,309.5892,22.2373,22.2373
