# Data K-e-
# Source: FNAL, 1980-PRL-45-232_Dally
# s [GeV^2], |F_K|^2, err. |F_K|^2, err. |F_K|^2
Code,Abbrev,x,y,dy+,dy-
52,Dally-80,-0.0409,0.9300,0.0300,0.0300
52,Dally-80,-0.0491,0.9000,0.0400,0.0400
52,Dally-80,-0.0572,0.8900,0.0500,0.0500
52,Dally-80,-0.0654,0.8500,0.0600,0.0600
52,Dally-80,-0.0736,0.7900,0.0700,0.0700
52,Dally-80,-0.0818,0.9000,0.0900,0.0900
52,Dally-80,-0.0899,0.6700,0.1000,0.1000
52,Dally-80,-0.0981,0.7700,0.1300,0.1300
52,Dally-80,-0.1063,0.7600,0.1600,0.1600
52,Dally-80,-0.1145,0.9000,0.2300,0.2300
# Data K-e-
# Source: SPS, 1986-PL-B178-435_Amendolia
# s [GeV^2], |F_K|^2, err. |F_K|^2, err. |F_K|^2
52,Amendolia-86,-0.0175,0.9650,0.0240,0.0240
52,Amendolia-86,-0.0225,0.9000,0.0240,0.0240
52,Amendolia-86,-0.0275,0.9730,0.0310,0.0310
52,Amendolia-86,-0.0325,0.9620,0.0370,0.0370
52,Amendolia-86,-0.0375,0.9180,0.0430,0.0430
52,Amendolia-86,-0.0425,0.8900,0.0490,0.0490
52,Amendolia-86,-0.0475,0.8770,0.0550,0.0550
52,Amendolia-86,-0.0525,0.8130,0.0600,0.0600
52,Amendolia-86,-0.0575,0.8800,0.0710,0.0710
52,Amendolia-86,-0.0625,0.9380,0.0840,0.0840
52,Amendolia-86,-0.0675,0.7420,0.0880,0.0880
52,Amendolia-86,-0.0725,0.7320,0.0950,0.0950
52,Amendolia-86,-0.0775,0.7200,0.1200,0.1200
52,Amendolia-86,-0.0850,0.7300,0.1000,0.1000
52,Amendolia-86,-0.0950,0.8000,0.1400,0.1400
# EOF
