# EE for rhos
# 
Code,Abbrev,x,y,dy+,dy-
999,EE,0.1050,1.6300,0.2700,0.2700
999,EE,0.1150,1.9200,0.2600,0.2600
999,EE,0.1250,1.8900,0.2400,0.2400
999,EE,0.1350,1.7400,0.2300,0.2300
999,EE,0.1450,1.7800,0.2300,0.2300
999,EE,0.1550,2.0200,0.2300,0.2300
999,EE,0.1650,2.2100,0.2600,0.2600
999,EE,0.1750,2.3200,0.2400,0.2400
999,EE,0.1850,2.3800,0.2300,0.2300
999,EE,0.1950,2.7500,0.2600,0.2600
999,EE,0.2050,2.7200,0.2400,0.2400
999,EE,0.2150,2.8100,0.2300,0.2300
999,EE,0.2250,2.9700,0.2200,0.2200
999,EE,0.2350,3.3100,0.2300,0.2300
999,EE,0.2450,3.3200,0.2200,0.2200
999,EE,0.2550,3.5200,0.2100,0.2100
999,EE,0.2650,4.1000,0.2200,0.2200
999,EE,0.2750,4.1800,0.2100,0.2100
999,EE,0.2850,4.4900,0.2100,0.2100
999,EE,0.2950,4.7800,0.2100,0.2100
999,EE,0.3050,5.1000,0.2100,0.2100
999,EE,0.3150,5.3600,0.2100,0.2100
999,EE,0.3250,5.5300,0.2100,0.2100
999,EE,0.3350,5.7900,0.2100,0.2100
999,EE,0.3450,6.4400,0.2100,0.2100
999,EE,0.3550,7.1300,0.2200,0.2200
999,EE,0.3650,7.7900,0.2200,0.2200
999,EE,0.3750,8.4300,0.2200,0.2200
999,EE,0.3850,9.4700,0.2300,0.2300
999,EE,0.3950,10.0200,0.2300,0.2300
999,EE,0.4050,10.9400,0.2300,0.2300
999,EE,0.4150,11.8300,0.2300,0.2300
999,EE,0.4250,13.4000,0.2400,0.2400
999,EE,0.4350,14.6200,0.2400,0.2400
999,EE,0.4450,15.6400,0.2400,0.2400
999,EE,0.4550,17.2100,0.2500,0.2500
999,EE,0.4650,19.5500,0.2600,0.2600
999,EE,0.4750,20.6400,0.2600,0.2600
999,EE,0.4850,23.9000,0.2800,0.2800
999,EE,0.4950,25.3000,0.2800,0.2800
999,EE,0.5050,27.6500,0.2900,0.2900
999,EE,0.5150,31.2400,0.3100,0.3100
999,EE,0.5250,32.6400,0.3100,0.3100
