# Eta meson
# t [GeV^{2}], |F_{eta}|, err, err
Code,Abbrev,x,y,dy+,dy-
141,Eta,-12.7400000,0.0144427,0.0033357,0.0033357
141,Eta,-7.5800000,0.0201847,0.0042545,0.0042545
141,Eta,-6.5600000,0.0278963,0.0036649,0.0036649
141,Eta,-6.5600000,0.0306402,0.0030969,0.0030969
141,Eta,-5.6800000,0.0276408,0.0039367,0.0039367
141,Eta,-4.7525104,0.0340471,0.0219342,0.0219342
141,Eta,-4.4600000,0.0325112,0.0045731,0.0045731
141,Eta,-4.1600000,0.0314904,0.0037318,0.0037318
141,Eta,-4.1600000,0.0346154,0.0035934,0.0035934
141,Eta,-3.7400000,0.0342246,0.0064671,0.0064671
141,Eta,-3.2400000,0.0419753,0.0050243,0.0050243
141,Eta,-2.9400000,0.0438776,0.0036634,0.0036634
141,Eta,-2.9400000,0.0442177,0.0036816,0.0036816
141,Eta,-2.7400000,0.0507299,0.0045143,0.0045143
141,Eta,-2.2300000,0.0733491,0.0128856,0.0128856
141,Eta,-2.2300000,0.0538117,0.0046818,0.0046818
141,Eta,-2.2300000,0.0605381,0.0050136,0.0050136
141,Eta,-2.2300000,0.0542601,0.0045134,0.0045134
141,Eta,-1.7300000,0.0630058,0.0054837,0.0054837
141,Eta,-1.7300000,0.0595376,0.0056930,0.0056930
141,Eta,-1.7300000,0.0583815,0.0055111,0.0055111
141,Eta,-1.4300000,0.0790729,0.0183891,0.0183891
141,Eta,-1.3755030,0.0830319,0.0281905,0.0281905
141,Eta,-1.0200000,0.1037312,0.0196248,0.0196248
141,Eta,-0.8991790,0.0971815,0.0248951,0.0248951
141,Eta,-0.6200000,0.1534798,0.0208429,0.0208429
141,Eta,-0.5475976,0.1138313,0.0501148,0.0501148
141,Eta,-0.2424462,0.1935045,0.0426264,0.0426264
141,Eta,0.4354152,1.5178247,0.6374864,0.6374864
141,Eta,0.5181984,0.5446883,0.5446883,0.5446883
141,Eta,0.5622900,0.4471809,0.4471809,0.4471809
141,Eta,0.5773872,0.7793224,0.2722291,0.2722291
141,Eta,0.5834821,0.8968716,0.2735458,0.2735458
141,Eta,0.5926844,0.4911998,0.4911998,0.4911998
141,Eta,0.5988593,0.2857221,0.3376716,0.3376716
141,Eta,0.6050662,0.3979044,0.2441686,0.2441686
141,Eta,0.6081816,1.0311849,0.1581150,0.1581150
141,Eta,0.6097423,0.6332944,0.6332944,0.6332944
141,Eta,0.6113051,0.8102512,0.0775772,0.0775772
141,Eta,0.6128698,0.8450299,0.1517772,0.1517772
141,Eta,0.6144365,0.3891101,0.2564589,0.2564589
141,Eta,0.6175759,0.7681852,0.1589349,0.1589349
141,Eta,0.6238788,0.4871517,0.3247678,0.3247678
141,Eta,0.6302137,0.3840024,0.2587842,0.2587842
141,Eta,0.6397760,0.2481280,0.2853472,0.2853472
141,Eta,0.6558732,0.4865073,0.1720575,0.1720575
141,Eta,0.6721704,0.5053059,0.1290143,0.1290143
141,Eta,0.7053648,0.4570508,0.1222345,0.1222345
141,Eta,0.7741536,0.1791647,0.1679669,0.1679669
141,Eta,0.8461424,0.2190735,0.1017127,0.1017127
141,Eta,0.8833368,0.1385781,0.2078671,0.2078671
141,Eta,0.9022340,0.3431833,0.0677336,0.0677336
141,Eta,0.9174958,0.2267145,0.0800169,0.0800169
141,Eta,0.9406284,0.1871125,0.0935562,0.0935562
141,Eta,0.9681182,0.1401038,0.1300964,0.1300964
141,Eta,0.9713778,0.2303012,0.3030279,0.3030279
141,Eta,1.0078353,0.4221861,0.0472596,0.0472596
141,Eta,1.0099446,0.6412916,0.1137775,0.1137775
141,Eta,1.0211709,0.6222992,0.0336378,0.0336378
141,Eta,1.0216459,0.9247327,0.0791820,0.0791820
141,Eta,1.0317887,1.3253733,0.0292362,0.0292362
141,Eta,1.0323982,2.3093574,0.0497417,0.0497417
141,Eta,1.0338212,1.6053087,0.0216717,0.0216717
141,Eta,1.0341059,1.6757084,0.0376650,0.0376650
141,Eta,1.0346145,2.8895336,0.0525694,0.0525694
141,Eta,1.0355301,1.8818539,0.0218661,0.0218661
141,Eta,1.0358558,1.9505909,0.0289953,0.0289953
141,Eta,1.0367516,3.3915348,0.0408892,0.0408892
141,Eta,1.0375052,2.3383240,0.0318214,0.0318214
141,Eta,1.0380146,2.3277300,0.0165243,0.0165243
141,Eta,1.0386361,3.7741802,0.0237626,0.0237626
141,Eta,1.0393803,2.3461404,0.0234614,0.0234614
141,Eta,1.0400736,2.3473688,0.0397767,0.0397767
141,Eta,1.0405326,3.5268204,0.0351595,0.0351595
141,Eta,1.0416652,1.9906766,0.0192398,0.0192398
141,Eta,1.0424921,2.7915882,0.0415768,0.0415768
141,Eta,1.0435440,1.5817434,0.0289933,0.0289933
141,Eta,1.0441161,2.3516143,0.0535934,0.0535934
141,Eta,1.0454347,1.9831244,0.0583272,0.0583272
141,Eta,1.0460994,1.1690397,0.0282482,0.0282482
141,Eta,1.0561056,0.5208004,0.0361667,0.0361667
141,Eta,1.0570205,0.7710983,0.0520573,0.0520573
141,Eta,1.0684737,0.3068062,0.0565169,0.0565169
141,Eta,1.0688768,0.4422725,0.0587830,0.0587830
141,Eta,1.0798431,0.2926392,0.1463196,0.1463196
141,Eta,1.0807474,0.2097611,0.0757471,0.0757471
141,Eta,1.1020800,0.1093310,0.1421302,0.1421302
141,Eta,1.1225191,0.1874474,0.1874474,0.1874474
141,Eta,1.1642410,0.3520060,0.0352006,0.0352006
141,Eta,1.3534996,0.0884103,0.0884103,0.0884103
141,Eta,1.7161000,0.0640262,0.0640262,0.0640262
# EOF
