# Pi zero meson
# t [GeV^{2}], |F_{pi^{0}}|, err, err
Code,Abbrev,x,y,dy+,dy-
140,PiZero,-34.3600000,0.0082945,0.0011517,0.0011517
140,PiZero,-27.3100000,0.0066276,0.0012303,0.0012303
140,PiZero,-22.2800000,0.0109964,0.0008079,0.0008079
140,PiZero,-18.4000000,0.0119565,0.0007065,0.0007065
140,PiZero,-15.9500000,0.0130408,0.0007524,0.0007524
140,PiZero,-14.2200000,0.0139241,0.0008439,0.0008439
140,PiZero,-12.7100000,0.0137687,0.0008655,0.0008655
140,PiZero,-11.4900000,0.0166754,0.0006789,0.0006789
140,PiZero,-10.4800000,0.0178053,0.0007252,0.0007252
140,PiZero,-9.4800000,0.0195464,0.0005802,0.0005802
140,PiZero,-8.4800000,0.0197288,0.0007075,0.0007075
140,PiZero,-7.9000000,0.0211392,0.0032048,0.0032048
140,PiZero,-7.4700000,0.0214993,0.0006292,0.0006292
140,PiZero,-6.4700000,0.0228748,0.0031524,0.0031524
140,PiZero,-6.4700000,0.0252705,0.0005564,0.0005564
140,PiZero,-5.7400000,0.0270035,0.0038956,0.0038956
140,PiZero,-5.7400000,0.0271777,0.0007840,0.0007840
140,PiZero,-5.2400000,0.0276718,0.0035189,0.0035189
140,PiZero,-5.2400000,0.0300382,0.0007443,0.0007443
140,PiZero,-4.7400000,0.0324895,0.0036844,0.0036844
140,PiZero,-4.7400000,0.0314557,0.0008650,0.0008650
140,PiZero,-4.2400000,0.0316038,0.0036078,0.0036078
140,PiZero,-4.2400000,0.0354717,0.0009198,0.0009198
140,PiZero,-3.7400000,0.0352941,0.0038283,0.0038283
140,PiZero,-3.2900000,0.0440729,0.0038447,0.0038447
140,PiZero,-2.9400000,0.0465986,0.0042073,0.0042073
140,PiZero,-2.7000000,0.0559259,0.0043351,0.0043351
140,PiZero,-2.5000000,0.0540000,0.0041761,0.0041761
140,PiZero,-2.3000000,0.0552174,0.0041247,0.0041247
140,PiZero,-2.1700000,0.0757405,0.0128374,0.0128374
140,PiZero,-2.1000000,0.0657143,0.0040686,0.0040686
140,PiZero,-1.9000000,0.0615789,0.0040083,0.0040083
140,PiZero,-1.7000000,0.0711056,0.0088882,0.0088882
140,PiZero,-1.6400000,0.0737805,0.0052098,0.0052098
140,PiZero,-1.2600000,0.0757405,0.0083443,0.0083443
140,PiZero,-0.9400000,0.1019985,0.0085793,0.0085793
140,PiZero,-0.6800000,0.1231585,0.0102632,0.0102632
140,PiZero,0.3594242,0.3639053,0.1173218,0.1173218
140,PiZero,0.3598320,0.3638723,0.1272074,0.1272074
140,PiZero,0.3962828,0.3727728,0.1144711,0.1144711
140,PiZero,0.3967236,0.4344939,0.0903162,0.0903162
140,PiZero,0.4349666,0.2170845,0.1573944,0.1573944
140,PiZero,0.4354152,0.4483776,0.1039209,0.1039209
140,PiZero,0.4754930,0.3375175,0.1015454,0.1015454
140,PiZero,0.5176946,0.4494907,0.0671062,0.0671062
140,PiZero,0.5181984,0.4528761,0.0735924,0.0735924
140,PiZero,0.5617503,0.6448940,0.0616399,0.0616399
140,PiZero,0.5622900,0.7186833,0.0686145,0.0686145
140,PiZero,0.5768403,0.8842660,0.0632569,0.0632569
140,PiZero,0.5773872,0.9179861,0.0773273,0.0773273
140,PiZero,0.5829323,1.0200441,0.0635394,0.0635394
140,PiZero,0.5834821,1.1462620,0.0671672,0.0671672
140,PiZero,0.5921303,1.3845605,0.0660501,0.0660501
140,PiZero,0.5926844,1.3357872,0.0670165,0.0670165
140,PiZero,0.5983023,1.7876190,0.0591765,0.0591765
140,PiZero,0.5988593,1.8625670,0.0493719,0.0493719
140,PiZero,0.6045063,2.8349188,0.0538928,0.0538928
140,PiZero,0.6050662,2.7817714,0.0479053,0.0479053
140,PiZero,0.6063893,3.0784415,0.1472616,0.1472616
140,PiZero,0.6075891,3.4579781,0.0662528,0.0662528
140,PiZero,0.6081816,3.5630290,0.0696690,0.0696690
140,PiZero,0.6093207,3.9077766,0.0635033,0.0635033
140,PiZero,0.6097423,4.3198898,0.1283263,0.1283263
140,PiZero,0.6109455,4.1751086,0.0645623,0.0645623
140,PiZero,0.6113051,4.1682256,0.0298837,0.0298837
140,PiZero,0.6123376,4.1383999,0.0681661,0.0681661
140,PiZero,0.6128698,4.3000356,0.0562801,0.0562801
140,PiZero,0.6138879,4.0104766,0.0778878,0.0778878
140,PiZero,0.6144365,4.0412389,0.0588724,0.0588724
140,PiZero,0.6170260,3.3767644,0.0593583,0.0593583
140,PiZero,0.6175759,3.4546578,0.0606694,0.0606694
140,PiZero,0.6233103,2.1893882,0.0503776,0.0503776
140,PiZero,0.6238788,2.0757626,0.0921483,0.0921483
140,PiZero,0.6296264,1.4623744,0.0467790,0.0467790
140,PiZero,0.6302137,1.4158346,0.0731716,0.0731716
140,PiZero,0.6391843,1.0640173,0.0391836,0.0391836
140,PiZero,0.6397760,1.0597172,0.0720380,0.0720380
140,PiZero,0.6552741,0.6863830,0.0328019,0.0328019
140,PiZero,0.6558732,0.7233290,0.0755200,0.0755200
140,PiZero,0.6715639,0.5385982,0.0291592,0.0291592
140,PiZero,0.6721704,0.5235097,0.0592292,0.0592292
140,PiZero,0.7047099,0.3980252,0.0241734,0.0241734
140,PiZero,0.7053648,0.3967569,0.0565002,0.0565002
140,PiZero,0.7734323,0.2668971,0.0432693,0.0432693
140,PiZero,0.7741536,0.2086361,0.0497881,0.0497881
140,PiZero,0.8453515,0.2304299,0.0269883,0.0269883
140,PiZero,0.8461424,0.2007801,0.0318310,0.0318310
140,PiZero,0.8825663,0.1955553,0.0376068,0.0376068
140,PiZero,0.8833368,0.2693650,0.0400407,0.0400407
140,PiZero,0.9014553,0.1954258,0.0358727,0.0358727
140,PiZero,0.9022340,0.2212703,0.0331905,0.0331905
140,PiZero,0.9167105,0.1978136,0.0354032,0.0354032
140,PiZero,0.9174958,0.1850328,0.0343632,0.0343632
140,PiZero,0.9398527,0.2165317,0.0369936,0.0369936
140,PiZero,0.9406284,0.1593591,0.0367752,0.0367752
140,PiZero,0.9681182,0.1249065,0.0429366,0.0429366
140,PiZero,0.9713778,0.1592098,0.0857283,0.0857283
140,PiZero,1.0078353,0.2068994,0.0282135,0.0282135
140,PiZero,1.0099446,0.1897180,0.0769127,0.0769127
140,PiZero,1.0211709,0.2435236,0.0199610,0.0199610
140,PiZero,1.0216459,0.3343641,0.0465202,0.0465202
140,PiZero,1.0317887,0.4352830,0.0189739,0.0189739
140,PiZero,1.0323982,0.5371873,0.0361742,0.0361742
140,PiZero,1.0338212,0.5353557,0.0145181,0.0145181
140,PiZero,1.0341059,0.5905755,0.0246759,0.0246759
140,PiZero,1.0346145,0.5102580,0.0609263,0.0609263
140,PiZero,1.0355301,0.6210226,0.0140786,0.0140786
140,PiZero,1.0358558,0.6455608,0.0180576,0.0180576
140,PiZero,1.0367516,0.7079837,0.0288133,0.0288133
140,PiZero,1.0375052,0.7453975,0.0208503,0.0208503
140,PiZero,1.0380146,0.7282501,0.0113372,0.0113372
140,PiZero,1.0386361,0.7242260,0.0167645,0.0167645
140,PiZero,1.0393803,0.6806567,0.0171234,0.0171234
140,PiZero,1.0400736,0.6640321,0.0380283,0.0380283
140,PiZero,1.0405326,0.6834844,0.0248669,0.0248669
140,PiZero,1.0416652,0.5260970,0.0138447,0.0138447
140,PiZero,1.0424921,0.4483523,0.0314063,0.0314063
140,PiZero,1.0435440,0.3841885,0.0214842,0.0214842
140,PiZero,1.0441161,0.3867021,0.0414324,0.0414324
140,PiZero,1.0454347,0.3223246,0.0436795,0.0436795
140,PiZero,1.0460994,0.2751957,0.0229330,0.0229330
140,PiZero,1.0561056,0.0881110,0.0440555,0.0440555
140,PiZero,1.0570205,0.0539555,0.0269777,0.0269777
140,PiZero,1.0684737,0.0730355,0.0730355,0.0730355
140,PiZero,1.0688768,0.0220208,0.0220208,0.0220208
140,PiZero,1.0798431,0.0622678,0.0389174,0.0389174
140,PiZero,1.0807474,0.0730139,0.0730139,0.0730139
140,PiZero,1.1020800,0.0793350,0.0793350,0.0793350
140,PiZero,1.1225191,0.0983578,0.0983578,0.0983578
140,PiZero,1.1642410,0.0621518,0.0621518,0.0621518
140,PiZero,1.3534996,0.0876036,0.0219009,0.0219009
140,PiZero,1.7161000,0.0689583,0.0137917,0.0137917
# EOF
