# QE cross section, numu n-> mu- p
Code,Abbrev,x,y,dy+,dy-
# 300,Mann-73
300,Barish-77,0.2300,0.2900,0.0800,0.0800
300,Barish-77,0.4000,0.5700,0.1000,0.1000
300,Barish-77,0.6000,0.7700,0.1000,0.1000
300,Barish-77,0.8000,0.7200,0.1400,0.1400
300,Barish-77,1.0200,0.8500,0.1200,0.1200
300,Barish-77,1.3800,1.1500,0.2800,0.2800
300,Barish-77,1.7600,1.0200,0.2100,0.2100
300,Barish-77,2.7500,1.1800,0.3300,0.3300
300,Bonetti-77,1.8750,0.9600,0.1700,0.1700
300,Bonetti-77,2.1250,0.9000,0.1000,0.1000
300,Bonetti-77,2.3750,0.7300,0.1200,0.1200
300,Bonetti-77,2.6250,0.7100,0.1300,0.1300
300,Bonetti-77,1.6250,1.0500,0.2000,0.2000
300,Bonetti-77,2.8750,0.8000,0.1400,0.1400
300,Bonetti-77,3.1250,0.7600,0.1500,0.1500
300,Bonetti-77,3.3750,0.8500,0.1800,0.1800
300,Bonetti-77,3.6250,0.8000,0.2000,0.2000
300,Bonetti-77,3.8750,1.0500,0.2000,0.2000
300,Bonetti-77,4.1250,0.5800,0.2400,0.2400
300,Bonetti-77,4.5000,0.5600,0.2200,0.2200
300,Bonetti-77,5.0000,0.8700,0.2800,0.2800
300,Pohl-79,1.1250,0.9600,0.1600,0.1600
300,Pohl-79,1.3750,0.8500,0.1400,0.1400
300,Pohl-79,1.7500,0.6700,0.1200,0.1200
300,Pohl-79,2.2500,0.9200,0.1100,0.1100
300,Pohl-79,2.7500,0.9400,0.1300,0.1300
300,Pohl-79,3.5000,0.9000,0.1200,0.1200
300,Pohl-79,5.3000,0.7000,0.1200,0.1200
300,Baker-81,0.7000,0.9600,0.0800,0.0800
300,Baker-81,1.2000,1.1800,0.0600,0.0600
300,Baker-81,2.0000,1.1000,0.1000,0.1000
300,Baker-81,2.2000,0.9000,0.1100,0.1100
300,Kitagaki-83,12.0000,0.9500,0.2200,0.2200
300,Kitagaki-83,50.0000,1.0000,0.1800,0.1800
300,Belikov-85,3.5000,0.7500,0.1172,0.1172
300,Belikov-85,4.5000,0.8700,0.1287,0.1287
300,Belikov-85,6.5000,0.8000,0.1356,0.1356
300,Belikov-85,7.5000,0.7600,0.1333,0.1333
300,Belikov-85,9.0000,0.7400,0.1396,0.1396
300,Belikov-85,12.5000,0.9900,0.1715,0.1715
300,Belikov-85,20.0000,0.8300,0.0830,0.0830
300,Brunner-90,3.0000,1.0500,0.1800,0.1800
300,Brunner-90,4.3000,0.9000,0.1600,0.1600
300,Brunner-90,6.0000,0.9500,0.2000,0.2000
300,Brunner-90,7.0000,1.2000,0.2200,0.2200
300,Brunner-90,7.8000,1.1900,0.2500,0.2500
300,Brunner-90,9.0000,0.9800,0.1900,0.1900
300,Brunner-90,12.0000,1.1300,0.1800,0.1800
300,Brunner-90,20.5000,1.0500,0.3000,0.3000
300,Allasia-90,7.5000,0.8100,0.1872,0.1872
300,Allasia-90,12.5000,0.6600,0.1544,0.1544
300,Allasia-90,17.5000,0.6700,0.1561,0.1561
300,Allasia-90,25.0000,0.8100,0.1807,0.1807
300,Allasia-90,40.0000,0.6600,0.1594,0.1594
300,Allasia-90,100.0000,0.5800,0.1160,0.1160
300,Auerbach-02,0.1000,0.1060,0.0180,0.0180
300,Abe-15,0.4376,0.6849,0.1330,0.1109
300,Abe-15,0.6482,0.7715,0.2071,0.1897
300,Abe-15,0.8091,1.0896,0.2388,0.1922
300,Abe-15,1.1963,0.3689,0.3478,0.3292
300,Abe-15,3.3740,1.3790,0.4384,0.4019
# EOF
