# Sigma_exp
# Source: Mainz
# Q_avg^2 [GeV^2/c^2] | sigma_exp | delta sigma_exp | theta | E_in [MeV]
Code,Abbrev,x,y,dy,theta,energy
# Type=1100
30,Mainz,0.011280,0.953774,0.002989,35.500000,180.000000
30,Mainz,0.011272,0.957270,0.002892,35.500000,180.000000
30,Mainz,0.011286,0.955780,0.002989,35.500000,180.000000
30,Mainz,0.011268,0.956704,0.002892,35.500000,180.000000
30,Mainz,0.011286,0.961854,0.003663,35.500000,180.000000
30,Mainz,0.011285,0.954819,0.003567,35.500000,180.000000
30,Mainz,0.011281,0.952421,0.003567,35.500000,180.000000
30,Mainz,0.011281,0.956663,0.003664,35.500000,180.000000
30,Mainz,0.011269,0.953423,0.003664,35.500000,180.000000
30,Mainz,0.011272,0.958812,0.004049,35.500000,180.000000
30,Mainz,0.011283,0.953669,0.004049,35.500000,180.000000
30,Mainz,0.012838,0.959329,0.003456,38.000000,180.000000
30,Mainz,0.012836,0.950118,0.003360,38.000000,180.000000
30,Mainz,0.012840,0.951162,0.003264,38.000000,180.000000
30,Mainz,0.012840,0.949530,0.003264,38.000000,180.000000
30,Mainz,0.012838,0.958657,0.003360,38.000000,180.000000
30,Mainz,0.012838,0.958464,0.003456,38.000000,180.000000
30,Mainz,0.014480,0.948030,0.002964,40.500000,180.000000
30,Mainz,0.014480,0.948126,0.002964,40.500000,180.000000
30,Mainz,0.014481,0.949940,0.002964,40.500000,180.000000
30,Mainz,0.014480,0.949082,0.002964,40.500000,180.000000
30,Mainz,0.016192,0.944741,0.002952,43.000000,180.000000
30,Mainz,0.016192,0.942170,0.002952,43.000000,180.000000
30,Mainz,0.016197,0.938251,0.005905,43.000000,180.000000
30,Mainz,0.016193,0.945215,0.002857,43.000000,180.000000
30,Mainz,0.016193,0.945786,0.003333,43.000000,180.000000
30,Mainz,0.017978,0.936697,0.005313,45.510000,180.000000
30,Mainz,0.017979,0.931951,0.003131,45.510000,180.000000
30,Mainz,0.017975,0.941449,0.002751,45.510000,180.000000
30,Mainz,0.019801,0.935425,0.004916,48.000000,180.000000
30,Mainz,0.019803,0.931827,0.002931,48.000000,180.000000
30,Mainz,0.019803,0.929275,0.005105,48.000000,180.000000
30,Mainz,0.019803,0.932962,0.003404,48.000000,180.000000
30,Mainz,0.019803,0.932962,0.003120,48.000000,180.000000
30,Mainz,0.021699,0.929807,0.003676,50.510000,180.000000
30,Mainz,0.021694,0.927275,0.002168,50.510000,180.000000
30,Mainz,0.021701,0.939038,0.005089,50.510000,180.000000
30,Mainz,0.021700,0.925093,0.002827,50.510000,180.000000
30,Mainz,0.021694,0.928878,0.003016,50.510000,180.000000
30,Mainz,0.023627,0.922380,0.003008,53.010000,180.000000
30,Mainz,0.023633,0.922083,0.003571,53.010000,180.000000
30,Mainz,0.023634,0.926874,0.002632,53.010000,180.000000
30,Mainz,0.023635,0.927154,0.002632,53.010000,180.000000
30,Mainz,0.025600,0.917009,0.004501,55.500000,180.000000
30,Mainz,0.025593,0.916932,0.002719,55.500000,180.000000
30,Mainz,0.025599,0.917199,0.003188,55.500000,180.000000
30,Mainz,0.025601,0.923571,0.004689,55.500000,180.000000
30,Mainz,0.025599,0.920012,0.002063,55.500000,180.000000
30,Mainz,0.027608,0.919116,0.004400,58.000000,180.000000
30,Mainz,0.027603,0.918753,0.002247,58.000000,180.000000
30,Mainz,0.027603,0.917816,0.002340,58.000000,180.000000
30,Mainz,0.027609,0.915182,0.002247,58.000000,180.000000
30,Mainz,0.029635,0.914353,0.001964,60.500000,180.000000
30,Mainz,0.031691,0.916704,0.001870,63.000000,180.000000
30,Mainz,0.033759,0.916897,0.001964,65.490000,180.000000
30,Mainz,0.033758,0.912783,0.001964,65.490000,180.000000
30,Mainz,0.035870,0.922420,0.001967,68.010000,180.000000
30,Mainz,0.035869,0.922141,0.001967,68.010000,180.000000
30,Mainz,0.037961,0.921074,0.001972,70.500000,180.000000
30,Mainz,0.037962,0.918631,0.001972,70.500000,180.000000
30,Mainz,0.040052,0.922029,0.001790,72.990000,180.000000
30,Mainz,0.042157,0.929873,0.001988,75.500000,180.000000
30,Mainz,0.042158,0.928263,0.001988,75.500000,180.000000
30,Mainz,0.044252,0.936375,0.002095,78.000000,180.000000
30,Mainz,0.044255,0.930848,0.002000,78.000000,180.000000
30,Mainz,0.046339,0.937119,0.003838,80.500000,180.000000
30,Mainz,0.046338,0.940862,0.002398,80.500000,180.000000
30,Mainz,0.046336,0.940288,0.002111,80.500000,180.000000
30,Mainz,0.048418,0.946028,0.004356,83.010000,180.000000
30,Mainz,0.048418,0.950577,0.002226,83.010000,180.000000
30,Mainz,0.050470,0.958077,0.004499,85.510000,180.000000
30,Mainz,0.050468,0.959350,0.002641,85.510000,180.000000
30,Mainz,0.050467,0.951918,0.002249,85.510000,180.000000
30,Mainz,0.050466,0.952212,0.004988,85.510000,180.000000
30,Mainz,0.050467,0.953385,0.003423,85.510000,180.000000
30,Mainz,0.050468,0.957687,0.002641,85.510000,180.000000
30,Mainz,0.052491,0.972277,0.005048,88.000000,180.000000
30,Mainz,0.052492,0.972178,0.002277,88.000000,180.000000
30,Mainz,0.054499,0.978489,0.003011,90.500000,180.000000
30,Mainz,0.054494,0.984112,0.005220,90.500000,180.000000
30,Mainz,0.054495,0.980097,0.002108,90.500000,180.000000
30,Mainz,0.056484,0.993816,0.005100,93.010000,180.000000
30,Mainz,0.056484,1.002791,0.003162,93.010000,180.000000
30,Mainz,0.056484,0.998610,0.003060,93.010000,180.000000
30,Mainz,0.058421,1.017792,0.005503,95.500000,180.000000
30,Mainz,0.058421,1.017481,0.003219,95.500000,180.000000
30,Mainz,0.058422,1.020180,0.002804,95.500000,180.000000
30,Mainz,0.060326,1.038155,0.005403,97.990000,180.000000
30,Mainz,0.060327,1.043346,0.003178,97.990000,180.000000
30,Mainz,0.060327,1.036778,0.003178,97.990000,180.000000
30,Mainz,0.060327,1.037837,0.003284,97.990000,180.000000
30,Mainz,0.060326,1.040274,0.003178,97.990000,180.000000
30,Mainz,0.062204,1.071707,0.004985,100.500000,180.000000
30,Mainz,0.062204,1.059244,0.003143,100.500000,180.000000
30,Mainz,0.062204,1.062820,0.002709,100.500000,180.000000
30,Mainz,0.064042,1.091083,0.005334,103.000000,180.000000
30,Mainz,0.064043,1.086082,0.003890,103.000000,180.000000
30,Mainz,0.064044,1.089861,0.002778,103.000000,180.000000
30,Mainz,0.065843,1.118930,0.005828,105.510000,180.000000
