# G_E neutron data
Code,Abbrev,x,y,dy+,dy-
14,Hanson-73,-0.2726,0.1149,0.0392,0.0392
14,Hanson-73,-0.7788,0.1456,0.0158,0.0158
14,Hanson-73,-1.1681,0.0721,0.0194,0.0194
14,Hanson-73,-1.7522,0.0412,0.0291,0.0291
14,Eden-94,-0.2550,0.0660,0.0371,0.0371
14,Becker-99,-0.3850,0.0334,0.0043,0.0043
14,Passchier-99,-0.2100,0.0660,0.0043,0.0043
14,Herberg-99,-0.1500,0.0481,0.0084,0.0084
14,Ostrick-99,-0.3400,0.0611,0.0098,0.0088
14,Golak-01,-0.4000,0.0520,0.0047,0.0047
14,Zhu-01,-0.4950,0.0463,0.0070,0.0070
14,Schiavilla-01, -0.1549, 0.0001, 0.0054, 0.0054
14,Schiavilla-01, -0.8818, 0.0206, 0.0143, 0.0143
14,Schiavilla-01, -2.2012, 0.0431, 0.0241, 0.0241
14,Schiavilla-01, -3.9414, 0.0615, 0.0279, 0.0279
14,Schiavilla-01, -6.2227, 0.0605, 0.0245, 0.0245
14,Schiavilla-01, -8.9687, 0.0594, 0.0156, 0.0156
14,Schiavilla-01,-12.2196, 0.0533, 0.0093, 0.0093
14,Schiavilla-01,-15.9781, 0.0483, 0.0074, 0.0074
14,Schiavilla-01,-20.2458, 0.0487, 0.0072, 0.0072
14,Schiavilla-01,-24.9790, 0.0506, 0.0087, 0.0087
14,Schiavilla-01,-30.1735, 0.0442, 0.0096, 0.0096
14,Schiavilla-01,-36.0419, 0.0330, 0.0111, 0.0111
14,Schiavilla-01,-42.2100, 0.0306, 0.0125, 0.0125
14,Bermuth-03,-0.6700,0.0468,0.0069,0.0069
14,Warren-04,-0.5000,0.0526,0.0042,0.0042
14,Warren-04,-1.0000,0.0454,0.0065,0.0065
14,Glazier-05,-0.3000,0.0552,0.0064,0.0062
14,Glazier-05,-0.5900,0.0477,0.0073,0.0070
14,Glazier-05,-0.7900,0.0468,0.0093,0.0091
14,Plaster-06,-0.4470,0.0545,0.0066,0.0066
14,Plaster-06,-1.1320,0.0396,0.0034,0.0034
14,Plaster-06,-1.4500,0.0415,0.0041,0.0041
14,Riordan-10,-1.7200,0.0236,0.0031,0.0031
14,Riordan-10,-2.4800,0.0208,0.0031,0.0031
14,Riordan-10,-3.4100,0.0147,0.0024,0.0024
14,Schlimme-13,-1.5800,0.0240,0.0059,0.0059
14,Sulkosky-17,-0.9800,0.0414,0.0080,0.0080
15,Antonelli-98,3.6400,0.4500,0.1600,0.1600
15,Antonelli-98,3.6900,0.3900,0.0800,0.0800
15,Antonelli-98,4.0000,0.2900,0.0500,0.0500
15,Antonelli-98,4.4100,0.3400,0.0500,0.0500
15,Antonelli-98,5.9500,0.2600,0.0600,0.0600
# EOF
