# G_M neutron data
Code,Abbrev,x,y,dy+,dy-
16,GMn,-10.000,-0.0053,0.0013,0.0013
16,GMn,-8.0000,-0.0090,0.0015,0.0015
16,GMn,-6.0000,-0.0195,0.0010,0.0010
16,GMn,-4.0000,-0.0410,0.0020,0.0020
16,GMn,-4.0000,-0.0401,0.0035,0.0035
16,GMn,-3.2500,-0.0595,0.0037,0.0037
16,GMn,-2.5000,-0.0920,0.0040,0.0040
16,GMn,-2.5000,-0.0949,0.0042,0.0042
16,GMn,-1.7522,-0.1589,0.0120,0.0120
16,GMn,-1.7500,-0.1676,0.0083,0.0083
16,GMn,-1.1681,-0.2606,0.0119,0.0119
16,GMn,-0.8940,-0.3981,0.0064,0.0064
16,GMn,-0.7840,-0.4506,0.0052,0.0052
16,GMn,-0.7788,-0.3420,0.0252,0.0252
16,GMn,-0.6520,-0.5391,0.0062,0.0062
16,GMn,-0.6050,-0.6160,0.0197,0.0197
16,GMn,-0.6000,-0.5585,0.0162,0.0162
16,GMn,-0.5841,-0.5407,0.0334,0.0334
16,GMn,-0.5040,-0.6753,0.0079,0.0079
16,GMn,-0.5000,-0.6382,0.0179,0.0179
16,GMn,-0.4170,-0.8620,0.0282,0.0282
16,GMn,-0.4000,-0.7587,0.0243,0.0243
16,GMn,-0.3894,-0.7885,0.0214,0.0214
16,GMn,-0.3590,-0.8346,0.0118,0.0118
16,GMn,-0.3000,-0.9054,0.0525,0.0525
16,GMn,-0.2726,-0.8726,0.0573,0.0573
16,GMn,-0.2550,-1.0646,0.0402,0.0402
16,GMn,-0.2550,-1.1140,0.0244,0.0244
16,GMn,-0.2350,-1.0388,0.0097,0.0097
16,GMn,-0.1930,-1.1248,0.0315,0.0315
16,GMn,-0.1760,-1.2764,0.0388,0.0388
16,GMn,-0.1250,-1.3375,0.0180,0.0180
16,GMn,-0.1250,-1.4110,0.0326,0.0326
16,GMn,-0.1112,-1.3685,0.0229,0.0229
16,GMn,-0.1090,-1.6332,0.0519,0.0519
16,GMn,-0.1000,-1.3936,0.0390,0.0390
16,GMn,-0.0710,-1.5652,0.0206,0.0206
17,GMn,3.6400,0.4500,0.1600,0.1600
17,GMn,3.6900,0.3900,0.0800,0.0800
17,GMn,4.0000,0.2900,0.0500,0.0500
17,GMn,4.4100,0.3400,0.0500,0.0500
17,GMn,5.9500,0.2600,0.0600,0.0600
# EOF
