# Neutron ratios mu_p*G_E^p/G_M^p
Code,Abbrev,x,y,dy+,dy-
22,Plaster-06,-1.4500,0.3616,0.0353,0.0353
22,Plaster-06,-1.1320,0.2506,0.0218,0.0218
22,Plaster-06,-0.4470,0.1444,0.0175,0.0175
23,Geis-08,-0.1420,0.0505,0.0078,0.0078
23,Geis-08,-0.2030,0.0695,0.0093,0.0093
23,Geis-08,-0.2910,0.1022,0.0135,0.0135
23,Geis-08,-0.4150,0.1171,0.0189,0.0189
23,Riordan-10,-3.4100,0.4960,0.0813,0.0813
23,Riordan-10,-2.4800,0.4120,0.0600,0.0600
23,Riordan-10,-1.7200,0.2730,0.0361,0.0361
23,Schlimme-13,-1.5800,0.2500,0.0604,0.0604
# EOF
