# G_eff^n effective neutron data in timelike region
Code,Abbrev,x,y,dy+,dy-
17,Antonelli-98,3.6400,0.4500,0.1600,0.1600
17,Antonelli-98,3.6900,0.3900,0.0800,0.0800
17,Antonelli-98,4.0000,0.2900,0.0500,0.0500
17,Antonelli-98,4.4100,0.3400,0.0500,0.0500
17,Antonelli-98,5.9500,0.2600,0.0600,0.0600
17,Ablikim-21,4.0000,0.1900,0.0158,0.0158
17,Ablikim-21,4.2025,0.1480,0.0196,0.0196
17,Ablikim-21,4.4100,0.1300,0.0100,0.0100
17,Ablikim-21,4.5156,0.1080,0.0045,0.0045
17,Ablikim-21,4.6225,0.1090,0.0146,0.0146
17,Ablikim-21,4.7306,0.0880,0.0081,0.0081
17,Ablikim-21,4.8400,0.0810,0.0067,0.0067
17,Ablikim-21,4.9836,0.0830,0.0067,0.0067
17,Ablikim-21,5.3333,0.0860,0.0050,0.0050
17,Ablikim-21,5.6949,0.0840,0.0050,0.0050
17,Ablikim-21,5.7408,0.0890,0.0036,0.0036
17,Ablikim-21,6.9981,0.0450,0.0028,0.0028
17,Ablikim-21,8.4100,0.0300,0.0022,0.0022
17,Ablikim-21,8.7025,0.0290,0.0054,0.0054
17,Ablikim-21,8.8864,0.0310,0.0054,0.0054
17,Ablikim-21,9.0000,0.0310,0.0063,0.0063
17,Ablikim-21,9.1204,0.0300,0.0054,0.0054
17,Ablikim-21,9.4864,0.0210,0.0022,0.0022
# EOF
