# Sigma_exp
# Source: Mainz
# Q_avg^2 [GeV^2/c^2] | sigma_exp | delta sigma_exp | theta | E [MeV]
Code,Abbrev,x,y,dy,theta,energy
# Energy=1101
30,PRad,0.000215,2173.30000,11.9374,0.7625,1101
30,PRad,0.000229,1920.60000,10.5624,0.7875,1101
30,PRad,0.000244,1694.70000,9.1686,0.8125,1101
30,PRad,0.000259,1496.80000,8.6460,0.8375,1101
30,PRad,0.000275,1335.40000,6.8813,0.8625,1101
30,PRad,0.000291,1190.50000,6.3393,0.8875,1101
30,PRad,0.000312,1026.60000,5.4290,0.9200,1101
30,PRad,0.000338,874.24000,5.0635,0.9575,1101
30,PRad,0.000365,753.64000,3.7263,0.9945,1101
30,PRad,0.000396,639.98000,3.7576,1.0355,1101
30,PRad,0.000431,538.60000,3.2367,1.0810,1101
30,PRad,0.000472,450.10000,2.2619,1.1310,1101
30,PRad,0.000517,373.16000,1.7409,1.1840,1101
30,PRad,0.000568,312.19000,1.4519,1.2405,1101
30,PRad,0.000628,253.75000,1.1459,1.3040,1101
30,PRad,0.000700,204.03000,0.9214,1.3775,1101
30,PRad,0.000793,159.52000,0.6938,1.4655,1101
30,PRad,0.000914,119.67000,0.4989,1.5740,1101
30,PRad,0.001080,85.90400,0.3840,1.7105,1101
30,PRad,0.001323,57.04200,0.2214,1.8935,1101
30,PRad,0.001637,37.08100,0.1529,2.1065,1101
30,PRad,0.002041,23.93300,0.1070,2.3525,1101
30,PRad,0.002574,14.97400,0.0628,2.6420,1101
30,PRad,0.003190,9.72850,0.0458,2.9420,1101
30,PRad,0.003873,6.55510,0.0337,3.2420,1101
30,PRad,0.004621,4.59280,0.0246,3.5420,1101
30,PRad,0.005434,3.27990,0.0184,3.8420,1101
30,PRad,0.006313,2.42860,0.0168,4.1420,1101
30,PRad,0.007257,1.82920,0.0110,4.4420,1101
30,PRad,0.008265,1.41160,0.0097,4.7420,1101
30,PRad,0.009353,1.08360,0.0082,5.0460,1101
30,PRad,0.011506,0.71577,0.0047,5.6000,1101
30,PRad,0.015468,0.38535,0.0042,6.5000,1101
# Energy=2143
30,PRad,0.000700,770.68000,2.4509,0.7075,2143
30,PRad,0.000731,708.49000,2.2819,0.7230,2143
30,PRad,0.000765,647.43000,2.0119,0.7395,2143
30,PRad,0.000801,588.99000,1.7586,0.7570,2143
30,PRad,0.000841,532.97000,1.6386,0.7755,2143
30,PRad,0.000885,483.98000,1.4940,0.7955,2143
30,PRad,0.000934,433.38000,1.3729,0.8170,2143
30,PRad,0.000987,387.58000,1.2469,0.8400,2143
30,PRad,0.001048,344.10000,1.0484,0.8655,2143
30,PRad,0.001116,302.80000,0.9267,0.8935,2143
30,PRad,0.001194,264.97000,0.8229,0.9240,2143
30,PRad,0.001282,228.76000,0.7133,0.9575,2143
30,PRad,0.001383,196.55000,0.6345,0.9945,2143
30,PRad,0.001499,167.69000,0.5062,1.0355,2143
30,PRad,0.001634,140.92000,0.4300,1.0810,2143
30,PRad,0.001789,117.65000,0.3916,1.1310,2143
30,PRad,0.001960,98.22900,0.3163,1.1840,2143
30,PRad,0.002152,81.22500,0.2518,1.2405,2143
30,PRad,0.002377,66.41200,0.2115,1.3040,2143
30,PRad,0.002653,53.22400,0.1737,1.3775,2143
30,PRad,0.003002,41.55000,0.1249,1.4655,2143
30,PRad,0.003463,31.14800,0.1009,1.5740,2143
30,PRad,0.004089,22.30600,0.0707,1.7105,2143
30,PRad,0.005009,14.78300,0.0466,1.8935,2143
30,PRad,0.006197,9.61710,0.0324,2.1065,2143
30,PRad,0.007726,6.12150,0.0216,2.3525,2143
30,PRad,0.009739,3.82970,0.0137,2.6420,2143
30,PRad,0.012069,2.46440,0.0087,2.9420,2143
30,PRad,0.014646,1.64330,0.0062,3.2420,2143
30,PRad,0.017469,1.14160,0.0049,3.5420,2143
30,PRad,0.020537,0.81784,0.0046,3.8420,2143
30,PRad,0.023848,0.60265,0.0033,4.1420,2143
30,PRad,0.027401,0.44210,0.0029,4.4420,2143
30,PRad,0.031196,0.33932,0.0024,4.7420,2143
30,PRad,0.035285,0.25817,0.0021,5.0460,2143
30,PRad,0.040354,0.19505,0.0018,5.4000,2143
30,PRad,0.046477,0.14266,0.0018,5.8000,2143
30,PRad,0.058188,0.08600,0.0012,6.5000,2143
# EOF
