# Cross-section sigma_p pbar, e+e- -> p pbar
# sqrt(s) [GeV/c] | delta+ | delta- | sigma_exp [pb] | delta sigma_exp+ | delta sigma_exp-
Code,Abbrev,x,dx+,dx-,y,dy+,dy-
31,Antonelli-98,1.9000,0.0000,0.0000,970.0000,530.0000,530.0000
31,Antonelli-98,1.9200,0.0000,0.0000,960.0000,270.0000,270.0000
31,Antonelli-98,2.0000,0.0000,0.0000,620.0000,170.0000,170.0000
31,Antonelli-98,2.1000,0.0000,0.0000,620.0000,120.0000,120.0000
31,Antonelli-98,2.4400,0.0000,0.0000,280.0000,120.0000,120.0000
31,Ambrogiani-99,2.9732,0.4000,0.4000,7.9300,1.2932,1.0717
31,Ambrogiani-99,3.2833,0.5292,0.5292,2.5000,1.9235,1.6125
31,Ambrogiani-99,3.5256,0.1414,0.1414,1.0400,0.2220,0.2012
31,Ambrogiani-99,3.6208,0.1342,0.1342,0.6200,0.2062,0.1676
31,Ambrogiani-99,3.7895,0.7071,0.7071,0.8000,1.4036,0.5099
31,Andreotti-03,3.4103,0.4123,0.4123,1.6100,0.3801,0.3068
31,Andreotti-03,3.5256,0.1000,0.1000,1.1100,0.2594,0.2025
31,Ablikim-05,2.0000,0.0000,0.0000,330.0000,254.1358,210.3735
31,Ablikim-05,2.2000,0.0000,0.0000,408.0000,79.1202,79.1202
31,Ablikim-05,2.4000,0.0000,0.0000,64.0000,73.1095,41.1947
31,Ablikim-05,2.5000,0.0000,0.0000,201.0000,113.7453,91.9239
31,Ablikim-05,2.6000,0.0000,0.0000,33.0000,7.2801,7.2801
31,Ablikim-05,2.7000,0.0000,0.0000,51.0000,58.2151,32.3883
31,Ablikim-05,2.8000,0.0000,0.0000,40.0000,45.1774,25.3180
31,Ablikim-05,3.0000,0.0000,0.0000,7.0000,5.0990,3.1623
31,Ablikim-05,3.0700,0.0000,0.0000,7.0000,3.1623,2.2361
31,Lees-13,1.8885,0.0115,0.0115,806.0000,54.9181,54.9181
31,Lees-13,1.9125,0.0125,0.0125,906.0000,59.3633,59.3633
31,Lees-13,1.9375,0.0125,0.0125,845.0000,56.3028,56.3028
31,Lees-13,1.9625,0.0125,0.0125,817.0000,54.9181,54.9181
31,Lees-13,1.9875,0.0125,0.0125,854.0000,57.1402,57.1402
31,Lees-13,2.0125,0.0125,0.0125,842.0000,56.6039,56.6039
31,Lees-13,2.0375,0.0125,0.0125,846.0000,57.1402,57.1402
31,Lees-13,2.0625,0.0125,0.0125,750.0000,53.0000,53.0000
31,Lees-13,2.0875,0.0125,0.0125,796.0000,54.3783,54.3783
31,Lees-13,2.1125,0.0125,0.0125,779.0000,53.5350,53.5350
31,Lees-13,2.1375,0.0125,0.0125,666.0000,50.7740,50.7740
31,Lees-13,2.1625,0.0125,0.0125,551.0000,47.5079,47.5079
31,Lees-13,2.1875,0.0125,0.0125,429.0000,40.3113,40.3113
31,Lees-13,2.2125,0.0125,0.0125,390.0000,38.0789,38.0789
31,Lees-13,2.2375,0.0125,0.0125,379.0000,35.7771,35.7771
31,Lees-13,2.2625,0.0125,0.0125,234.0000,29.9666,29.9666
31,Lees-13,2.2875,0.0125,0.0125,201.0000,27.7308,27.7308
31,Lees-13,2.3250,0.0250,0.0250,143.0000,18.4391,18.4391
31,Lees-13,2.3750,0.0250,0.0250,105.0000,16.2788,16.2788
31,Lees-13,2.4250,0.0250,0.0250,115.0000,13.4164,13.4164
31,Lees-13,2.4750,0.0250,0.0250,101.0000,12.0830,12.0830
31,Lees-13,2.5250,0.0250,0.0250,84.0000,10.7703,10.7703
31,Lees-13,2.5750,0.0250,0.0250,55.0000,8.5440,8.5440
31,Lees-13,2.6250,0.0250,0.0250,40.0000,8.5440,8.5440
31,Lees-13,2.6750,0.0250,0.0250,28.0000,6.7082,6.7082
31,Lees-13,2.7250,0.0250,0.0250,36.0000,7.6158,7.6158
31,Lees-13,2.7750,0.0250,0.0250,29.0000,6.7082,6.7082
31,Lees-13,2.8250,0.0250,0.0250,18.0000,5.0990,5.0990
31,Lees-13,2.8750,0.0250,0.0250,27.0000,6.3246,6.3246
31,Lees-13,2.9250,0.0250,0.0250,19.0000,5.3852,5.3852
31,Lees-13,2.9750,0.0250,0.0250,20.0000,5.3852,5.3852
31,Lees-13,3.1000,0.1000,0.1000,4.2000,2.5612,2.5612
31,Lees-13,3.3000,0.1000,0.1000,5.4000,1.6279,1.6279
31,Lees-13,3.5000,0.1000,0.1000,1.6000,0.6708,0.6708
31,Lees-13,3.7000,0.1000,0.1000,1.9000,0.8544,0.8544
31,Lees-13,3.9000,0.1000,0.1000,0.2000,0.4472,0.4472
31,Lees-13,4.1250,0.1250,0.1250,0.3000,0.3606,0.3606
31,Lees-13,4.3750,0.1250,0.1250,0.3000,0.3606,0.3606
# same experiment, data with a larger granularity
31,Lees-13-L,1.8783,0.0017,0.0017,534.0000,101.7693,101.7693
31,Lees-13-L,1.8825,0.0025,0.0025,826.0000,114.0175,114.0175
31,Lees-13-L,1.8875,0.0025,0.0025,705.0000,110.0636,110.0636
31,Lees-13-L,1.8925,0.0025,0.0025,886.0000,127.7576,127.7576
31,Lees-13-L,1.8975,0.0025,0.0025,938.0000,134.7145,134.7145
31,Lees-13-L,1.9025,0.0025,0.0025,785.0000,127.8828,127.8828
31,Lees-13-L,1.9075,0.0025,0.0025,937.0000,141.0886,141.0886
31,Lees-13-L,1.9125,0.0025,0.0025,1096.0000,149.2649,149.2649
31,Lees-13-L,1.9200,0.0050,0.0050,862.0000,89.8888,89.8888
31,Lees-13-L,1.9313,0.0062,0.0063,811.0000,75.6439,75.6439
31,Lees-13-L,1.9438,0.0063,0.0062,887.0000,79.2023,79.2023
31,Lees-13-L,1.9563,0.0062,0.0063,780.0000,76.1577,76.1577
31,Lees-13-L,1.9688,0.0063,0.0062,850.0000,76.9675,76.9675
31,Lees-13-2,3.1000,0.1000,0.1000,8.4000,1.8000,1.8000
31,Lees-13-2,3.3000,0.1000,0.1000,3.8000,0.7000,0.7000
31,Lees-13-2,3.5000,0.1000,0.1000,2.4200,0.4500,0.4500
31,Lees-13-2,3.7000,0.1000,0.1000,0.9800,0.3000,0.3000
31,Lees-13-2,3.9000,0.1000,0.1000,0.7200,0.1900,0.1900
31,Lees-13-2,4.2500,0.2500,0.2500,0.1650,0.0530,0.0530
31,Lees-13-2,5.0000,0.5000,0.5000,0.0180,0.0100,0.0100
31,Lees-13-2,6.0000,0.5000,0.5000,0.0014,0.0025,0.0025
