# Cross-section sigma_p pbar, e+e- -> p pbar
# sqrt(s) [GeV/c] | delta+ | delta- | sigma_exp [pb] | delta sigma_exp+ | delta sigma_exp-
Code,Abbrev,x,dx+,dx-,y,dy+,dy-
31,Lees-13,3.5664,0.0434,0.0434,806.0000,54.9181,54.9181
31,Lees-13,3.6577,0.0478,0.0478,906.0000,59.3633,59.3633
31,Lees-13,3.7539,0.0484,0.0484,845.0000,56.3028,56.3028
31,Lees-13,3.8514,0.0491,0.0491,817.0000,54.9181,54.9181
31,Lees-13,3.9502,0.0497,0.0497,854.0000,57.1402,57.1402
31,Lees-13,4.0502,0.0503,0.0503,842.0000,56.6039,56.6039
31,Lees-13,4.1514,0.0509,0.0509,846.0000,57.1402,57.1402
31,Lees-13,4.2539,0.0516,0.0516,750.0000,53.0000,53.0000
31,Lees-13,4.3577,0.0522,0.0522,796.0000,54.3783,54.3783
31,Lees-13,4.4627,0.0528,0.0528,779.0000,53.5350,53.5350
31,Lees-13,4.5689,0.0534,0.0534,666.0000,50.7740,50.7740
31,Lees-13,4.6764,0.0541,0.0541,551.0000,47.5079,47.5079
31,Lees-13,4.7852,0.0547,0.0547,429.0000,40.3113,40.3113
31,Lees-13,4.8952,0.0553,0.0553,390.0000,38.0789,38.0789
31,Lees-13,5.0064,0.0559,0.0559,379.0000,35.7771,35.7771
31,Lees-13,5.1189,0.0566,0.0566,234.0000,29.9666,29.9666
31,Lees-13,5.2327,0.0572,0.0572,201.0000,27.7308,27.7308
31,Lees-13,5.4056,0.1163,0.1163,143.0000,18.4391,18.4391
31,Lees-13,5.6406,0.1188,0.1188,105.0000,16.2788,16.2788
31,Lees-13,5.8806,0.1213,0.1213,115.0000,13.4164,13.4164
31,Lees-13,6.1256,0.1238,0.1238,101.0000,12.0830,12.0830
31,Lees-13,6.3756,0.1263,0.1263,84.0000,10.7703,10.7703
31,Lees-13,6.6306,0.1288,0.1288,55.0000,8.5440,8.5440
31,Lees-13,6.8906,0.1313,0.1313,40.0000,8.5440,8.5440
31,Lees-13,7.1556,0.1338,0.1338,28.0000,6.7082,6.7082
31,Lees-13,7.4256,0.1363,0.1363,36.0000,7.6158,7.6158
31,Lees-13,7.7006,0.1388,0.1388,29.0000,6.7082,6.7082
31,Lees-13,7.9806,0.1413,0.1413,18.0000,5.0990,5.0990
31,Lees-13,8.2656,0.1438,0.1438,27.0000,6.3246,6.3246
31,Lees-13,8.5556,0.1463,0.1463,19.0000,5.3852,5.3852
31,Lees-13,8.8506,0.1488,0.1488,20.0000,5.3852,5.3852
31,Lees-13,9.6100,0.6200,0.6200,4.2000,2.5612,2.5612
31,Lees-13,10.8900,0.6600,0.6600,5.4000,1.6279,1.6279
31,Lees-13,12.2500,0.7000,0.7000,1.6000,0.6708,0.6708
31,Lees-13,13.6900,0.7400,0.7400,1.9000,0.8544,0.8544
