# G_E proton data
Code,Abbrev,x,y,dy+,dy-
10,Berger-71,-0.3894,0.3969,0.0134,0.0134
10,Berger-71,-0.5841,0.2935,0.0083,0.0083
10,Berger-71,-0.7788,0.2183,0.0082,0.0082
10,Berger-71,-0.9734,0.1761,0.0083,0.0083
10,Berger-71,-1.1681,0.1310,0.0092,0.0092
10,Berger-71,-1.3628,0.1113,0.0084,0.0084
10,Berger-71,-1.5575,0.0863,0.0085,0.0085
10,Berger-71,-1.7522,0.0685,0.0101,0.0101
10,Berger-71,-1.9469,0.0722,0.0126,0.0126
10,Price-71,-0.0389,0.8809,0.0085,0.0085
10,Price-71,-0.0778,0.7842,0.0115,0.0115
10,Price-71,-0.1160,0.7253,0.0221,0.0221
10,Price-71,-0.1300,0.6935,0.0079,0.0079
10,Price-71,-0.1900,0.6058,0.0050,0.0050
10,Price-71,-0.2700,0.5030,0.0070,0.0070
10,Price-71,-0.3300,0.4465,0.0049,0.0049
10,Price-71,-0.3900,0.4142,0.0049,0.0049
10,Price-71,-0.4500,0.3748,0.0095,0.0095
10,Price-71,-0.5300,0.3271,0.0113,0.0113
10,Price-71,-0.5800,0.2944,0.0042,0.0042
10,Price-71,-0.6500,0.2650,0.0115,0.0115
10,Price-71,-0.7200,0.2700,0.0172,0.0172
10,Price-71,-0.7800,0.2170,0.0065,0.0065
10,Price-71,-0.9400,0.1957,0.0077,0.0077
10,Price-71,-1.1000,0.1407,0.0050,0.0050
10,Price-71,-1.3500,0.1140,0.0053,0.0053
10,Price-71,-1.7500,0.0713,0.0064,0.0064
10,Hanson-73,-0.2726,0.5004,0.0070,0.0070
10,Hanson-73,-0.3894,0.4147,0.0050,0.0050
10,Hanson-73,-0.5841,0.2926,0.0041,0.0041
10,Hanson-73,-0.7788,0.2174,0.0065,0.0065
10,Hanson-73,-1.1681,0.1307,0.0047,0.0047
10,Hanson-73,-1.7522,0.0712,0.0064,0.0064
10,Simon-80,-0.0055,0.9858,0.0022,0.0022
10,Simon-80,-0.0078,0.9767,0.0024,0.0024
10,Simon-80,-0.0097,0.9722,0.0021,0.0021
10,Simon-80,-0.0117,0.9619,0.0041,0.0041
10,Simon-80,-0.0136,0.9612,0.0021,0.0021
10,Simon-80,-0.0156,0.9511,0.0048,0.0048
10,Simon-80,-0.0175,0.9463,0.0015,0.0015
10,Simon-80,-0.0195,0.9428,0.0029,0.0029
10,Simon-80,-0.0214,0.9353,0.0015,0.0015
10,Simon-80,-0.0234,0.9320,0.0028,0.0028
10,Simon-80,-0.0253,0.9246,0.0017,0.0017
10,Simon-80,-0.0273,0.9165,0.0032,0.0032
10,Simon-80,-0.0312,0.9064,0.0024,0.0024
10,Simon-80,-0.0331,0.9043,0.0029,0.0029
10,Simon-80,-0.0350,0.9023,0.0033,0.0033
10,Simon-80,-0.0389,0.8839,0.0071,0.0071
10,Simon-80,-0.0467,0.8637,0.0052,0.0052
10,Simon-80,-0.0545,0.8466,0.0034,0.0034
10,Christy-04,-0.6500,0.2821,0.0142,0.0142
10,Christy-04,-0.9100,0.1832,0.0102,0.0102
10,Christy-04,-2.2000,0.0549,0.0072,0.0072
10,Christy-04,-2.7500,0.0374,0.0048,0.0048
10,Christy-04,-3.7500,0.0221,0.0059,0.0059
10,Christy-04,-4.2000,0.0262,0.0033,0.0033
10,Christy-04,-5.2000,0.0171,0.0074,0.0074
10,Xiong-21,-0.000215,0.99779,0.00271,0.00271
10,Xiong-21,-0.000229,1.00050,0.00272,0.00272
10,Xiong-21,-0.000244,1.00040,0.00268,0.00268
10,Xiong-21,-0.000259,0.99895,0.00285,0.00285
10,Xiong-21,-0.000275,1.00070,0.00255,0.00255
10,Xiong-21,-0.000291,1.00040,0.00263,0.00263
10,Xiong-21,-0.000312,0.99825,0.00261,0.00261
10,Xiong-21,-0.000338,0.99783,0.00286,0.00286
10,Xiong-21,-0.000365,0.99942,0.00244,0.00244
10,Xiong-21,-0.000396,0.99846,0.00290,0.00290
10,Xiong-21,-0.000431,0.99821,0.00297,0.00297
10,Xiong-21,-0.000472,0.99886,0.00248,0.00248
10,Xiong-21,-0.000517,0.99670,0.00230,0.00230
10,Xiong-21,-0.000568,1.00070,0.00230,0.00230
10,Xiong-21,-0.000628,0.99686,0.00223,0.00223
10,Xiong-21,-0.000700,0.99743,0.00222,0.00222
10,Xiong-21,-0.000793,0.99817,0.00214,0.00214
10,Xiong-21,-0.000914,0.99724,0.00206,0.00206
10,Xiong-21,-0.001080,0.99769,0.00221,0.00221
10,Xiong-21,-0.001323,0.99609,0.00191,0.00191
10,Xiong-21,-0.001637,0.99374,0.00205,0.00205
10,Xiong-21,-0.002041,0.99544,0.00222,0.00222
10,Xiong-21,-0.002574,0.99272,0.00210,0.00210
10,Xiong-21,-0.003190,0.99181,0.00236,0.00236
10,Xiong-21,-0.003873,0.98816,0.00255,0.00255
10,Xiong-21,-0.004621,0.98680,0.00265,0.00265
10,Xiong-21,-0.005434,0.98057,0.00276,0.00276
10,Xiong-21,-0.006313,0.98012,0.00343,0.00343
10,Xiong-21,-0.007257,0.97768,0.00298,0.00298
10,Xiong-21,-0.008265,0.97819,0.00343,0.00343
10,Xiong-21,-0.009353,0.96965,0.00373,0.00373
10,Xiong-21,-0.011506,0.96934,0.00322,0.00322
10,Xiong-21,-0.015468,0.95565,0.00541,0.00541
10,Xiong-21,-0.000700,0.99715,0.00150,0.00150
10,Xiong-21,-0.000731,0.99840,0.00152,0.00152
10,Xiong-21,-0.000765,0.99844,0.00146,0.00146
10,Xiong-21,-0.000801,0.99789,0.00139,0.00139
10,Xiong-21,-0.000841,0.99617,0.00144,0.00144
10,Xiong-21,-0.000885,0.99885,0.00146,0.00146
10,Xiong-21,-0.000934,0.99693,0.00149,0.00149
10,Xiong-21,-0.000987,0.99657,0.00152,0.00152
10,Xiong-21,-0.001048,0.99684,0.00143,0.00143
10,Xiong-21,-0.001116,0.99653,0.00144,0.00144
10,Xiong-21,-0.001194,0.99686,0.00146,0.00146
10,Xiong-21,-0.001282,0.99454,0.00146,0.00146
10,Xiong-21,-0.001383,0.99441,0.00153,0.00153
10,Xiong-21,-0.001499,0.99573,0.00142,0.00142
10,Xiong-21,-0.001634,0.99464,0.00144,0.00144
10,Xiong-21,-0.001789,0.99471,0.00159,0.00159
10,Xiong-21,-0.001960,0.99597,0.00153,0.00153
10,Xiong-21,-0.002152,0.99400,0.00147,0.00147
10,Xiong-21,-0.002377,0.99299,0.00153,0.00153
10,Xiong-21,-0.002653,0.99175,0.00157,0.00157
10,Xiong-21,-0.003002,0.99152,0.00144,0.00144
10,Xiong-21,-0.003463,0.98992,0.00157,0.00157
10,Xiong-21,-0.004089,0.98881,0.00155,0.00155
10,Xiong-21,-0.005009,0.98570,0.00153,0.00153
10,Xiong-21,-0.006197,0.98300,0.00164,0.00164
10,Xiong-21,-0.007726,0.97688,0.00170,0.00170
10,Xiong-21,-0.009739,0.97298,0.00175,0.00175
10,Xiong-21,-0.012069,0.96599,0.00172,0.00172
10,Xiong-21,-0.014646,0.95585,0.00184,0.00184
10,Xiong-21,-0.017469,0.94881,0.00212,0.00212
10,Xiong-21,-0.020537,0.94270,0.00265,0.00265
10,Xiong-21,-0.023848,0.93835,0.00270,0.00270
10,Xiong-21,-0.027401,0.92141,0.00309,0.00309
10,Xiong-21,-0.031196,0.91766,0.00362,0.00362
10,Xiong-21,-0.035285,0.90331,0.00387,0.00387
10,Xiong-21,-0.040354,0.89625,0.00463,0.00463
10,Xiong-21,-0.046477,0.88026,0.00600,0.00600
10,Xiong-21,-0.058188,0.85109,0.00664,0.00664
11,GEp,3.5200,0.5300,0.0400,0.0600
11,GEp,3.5210,0.5100,0.0600,0.0600
11,GEp,3.5278,0.5150,0.0500,0.0500
11,GEp,3.5438,0.4970,0.0340,0.0340
11,GEp,3.5500,0.3900,0.0500,0.0500
11,GEp,3.5627,0.4030,0.0320,0.0320
11,GEp,3.5664,0.4240,0.0140,0.0140
11,GEp,3.5700,0.3400,0.0400,0.0400
11,GEp,3.5816,0.4160,0.0300,0.0300
11,GEp,3.6000,0.3100,0.0300,0.0300
11,GEp,3.6005,0.4040,0.0290,0.0290
11,GEp,3.6100,0.4200,0.1400,0.0800
11,GEp,3.6100,0.4100,0.1100,0.0900
11,GEp,3.6195,0.3530,0.0290,0.0290
11,GEp,3.6386,0.3720,0.0280,0.0280
11,GEp,3.6577,0.3900,0.0270,0.0270
11,GEp,3.6577,0.3550,0.0120,0.0120
11,GEp,3.6864,0.3330,0.0170,0.0170
11,GEp,3.6900,0.2810,0.0140,0.0140
11,GEp,3.6900,0.3600,0.0500,0.0500
11,GEp,3.7297,0.3090,0.0140,0.0140
11,GEp,3.7539,0.3090,0.0100,0.0100
11,GEp,3.7600,0.2550,0.0130,0.0130
11,GEp,3.7636,0.3937,0.0597,0.0597
11,GEp,3.7782,0.3110,0.0140,0.0140
11,GEp,3.8269,0.2830,0.0140,0.0140
11,GEp,3.8300,0.2490,0.0100,0.0100
11,GEp,3.8514,0.2860,0.0100,0.0100
11,GEp,3.8760,0.2880,0.0130,0.0130
11,GEp,3.8987,0.2490,0.0803,0.0803
11,GEp,3.9400,0.2460,0.0110,0.0110
11,GEp,3.9502,0.2810,0.0090,0.0090
11,GEp,4.0000,0.2600,0.0300,0.0300
11,GEp,4.0000,0.2400,0.0300,0.0300
11,GEp,4.0000,0.1750,0.0673,0.0553
11,GEp,4.0502,0.2710,0.0090,0.0090
11,GEp,4.1250,0.2646,0.0340,0.0340
11,GEp,4.1250,0.2074,0.0362,0.0362
11,GEp,4.1514,0.2660,0.0090,0.0090
11,GEp,4.1800,0.2370,0.0090,0.0090
11,GEp,4.2000,0.2200,0.0200,0.0200
11,GEp,4.2539,0.2470,0.0090,0.0090
11,GEp,4.3577,0.2520,0.0090,0.0090
11,GEp,4.4000,0.1900,0.0200,0.0200
11,GEp,4.4100,0.3600,0.0500,0.0500
11,GEp,4.4200,0.2200,0.0200,0.0200
11,GEp,4.4627,0.2470,0.0080,0.0080
11,GEp,4.5689,0.2270,0.0090,0.0090
11,GEp,4.6000,0.1700,0.0200,0.0200
11,GEp,4.6764,0.2060,0.0090,0.0090
11,GEp,4.7852,0.1820,0.0090,0.0090
11,GEp,4.8000,0.1900,0.0200,0.0200
11,GEp,4.8400,0.1790,0.0177,0.0177
11,GEp,4.8952,0.1730,0.0080,0.0080
11,GEp,4.9836,0.1610,0.0047,0.0047
11,GEp,5.0000,0.1400,0.0400,0.0400
11,GEp,5.0064,0.1710,0.0080,0.0080
11,GEp,5.1189,0.1340,0.0090,0.0090
11,GEp,5.2327,0.1250,0.0090,0.0090
11,GEp,5.4056,0.1060,0.0070,0.0070
11,GEp,5.6406,0.0910,0.0080,0.0080
11,GEp,5.6930,0.0835,0.0175,0.0131
11,GEp,5.7600,0.0720,0.0410,0.0231
11,GEp,5.7600,0.1007,0.0042,0.0042
11,GEp,5.8806,0.0960,0.0060,0.0060
11,GEp,5.9500,0.1500,0.0300,0.0300
11,GEp,6.1256,0.0910,0.0060,0.0060
11,GEp,6.2500,0.1310,0.0372,0.0293
11,GEp,6.3756,0.0840,0.0050,0.0050
11,GEp,6.6306,0.0690,0.0060,0.0060
11,GEp,6.7600,0.0540,0.0063,0.0063
11,GEp,6.8906,0.0600,0.0060,0.0060
11,GEp,7.1556,0.0500,0.0060,0.0060
11,GEp,7.2900,0.0700,0.0391,0.0222
11,GEp,7.4256,0.0580,0.0060,0.0060
11,GEp,7.7006,0.0530,0.0060,0.0060
11,GEp,7.8400,0.0630,0.0361,0.0202
11,GEp,7.8400,0.0445,0.0042,0.0042
11,GEp,7.9806,0.0420,0.0060,0.0060
11,GEp,8.2656,0.0520,0.0060,0.0060
11,GEp,8.5556,0.0440,0.0060,0.0060
11,GEp,8.8400,0.0417,0.0033,0.0029
11,GEp,8.8506,0.0460,0.0060,0.0060
11,GEp,8.9000,0.0390,0.0070,0.0050
11,GEp,9.0000,0.0280,0.0100,0.0061
11,GEp,9.3025,0.0329,0.0019,0.0019
11,GEp,9.3636,0.0303,0.0020,0.0020
11,GEp,9.4249,0.0270,0.0061,0.0041
11,GEp,9.4864,0.0311,0.0014,0.0014
11,GEp,9.6100,0.0220,0.0070,0.0070
11,GEp,9.6100,0.0310,0.0031,0.0035
11,GEp,10.7800,0.0240,0.0080,0.0096
11,GEp,10.8900,0.0270,0.0040,0.0040
11,GEp,10.8900,0.0221,0.0020,0.0022
11,GEp,11.5600,0.0154,0.0058,0.0058
11,GEp,11.6300,0.0194,0.0023,0.0019
11,GEp,12.2500,0.0150,0.0030,0.0030
11,GEp,12.2500,0.0186,0.0017,0.0018
11,GEp,12.2500,0.0173,0.0045,0.0045
11,GEp,12.4000,0.0140,0.0030,0.0020
11,GEp,12.4300,0.0158,0.0016,0.0016
11,GEp,12.4300,0.0163,0.0019,0.0015
11,GEp,12.6075,0.0167,0.0029,0.0029
11,GEp,12.9614,0.0178,0.0043,0.0043
11,GEp,13.0000,0.0150,0.0060,0.0040
11,GEp,13.1100,0.0124,0.0020,0.0019
11,GEp,13.3225,0.0126,0.0013,0.0013
11,GEp,13.4762,0.0140,0.0022,0.0022
11,GEp,13.4762,0.0184,0.0050,0.0050
11,GEp,13.6900,0.0180,0.0040,0.0040
11,GEp,13.6900,0.0124,0.0018,0.0021
11,GEp,14.2280,0.0088,0.0004,0.0004
11,GEp,14.3600,0.0151,0.0101,0.0060
11,GEp,15.2100,0.0050,0.0050,0.0050
11,GEp,15.2100,0.0112,0.0014,0.0016
11,GEp,17.0156,0.0080,0.0040,0.0040
11,GEp,17.3889,0.0076,0.0004,0.0004
11,GEp,18.0625,0.0058,0.0009,0.0010
11,GEp,19.1406,0.0080,0.0040,0.0040
11,GEp,25.0000,0.0022,0.0006,0.0008
11,GEp,36.0000,0.0007,0.0005,0.0007
# EOF
