# G_M proton data
Code,Abbrev,x,y,dy+,dy-
12,Janssens-66,-0.1558,1.7399,0.0503,0.0503
12,Janssens-66,-0.1791,1.7064,0.0279,0.0279
12,Janssens-66,-0.1947,1.7260,0.0586,0.0586
12,Janssens-66,-0.2336,1.4886,0.0391,0.0391
12,Janssens-66,-0.2726,1.3685,0.0279,0.0279
12,Janssens-66,-0.2920,1.3182,0.0307,0.0307
12,Janssens-66,-0.3115,1.3015,0.0251,0.0251
12,Janssens-66,-0.3504,1.2205,0.0307,0.0307
12,Janssens-66,-0.3894,1.1171,0.0195,0.0195
12,Janssens-66,-0.4283,1.0585,0.0251,0.0251
12,Janssens-66,-0.4673,0.9915,0.0195,0.0195
12,Janssens-66,-0.5062,0.9133,0.0419,0.0419
12,Janssens-66,-0.5451,0.8825,0.0223,0.0223
12,Janssens-66,-0.5841,0.8295,0.0419,0.0419
12,Janssens-66,-0.6230,0.7876,0.0168,0.0168
12,Janssens-66,-0.6619,0.7736,0.0223,0.0223
12,Janssens-66,-0.7009,0.6982,0.0140,0.0140
12,Janssens-66,-0.7398,0.6842,0.0223,0.0223
12,Janssens-66,-0.7788,0.6619,0.0279,0.0279
12,Janssens-66,-0.8566,0.6256,0.0195,0.0195
12,Janssens-66,-1.0124,0.4971,0.0140,0.0140
12,Janssens-66,-1.0903,0.4469,0.0168,0.0168
12,Janssens-66,-1.1681,0.4050,0.0168,0.0168
12,Berger-71,-0.3894,1.1412,0.0325,0.0325
12,Berger-71,-0.5841,0.8295,0.0181,0.0181
12,Berger-71,-0.7788,0.6393,0.0146,0.0146
12,Berger-71,-0.9734,0.5049,0.0121,0.0121
12,Berger-71,-1.1681,0.4189,0.0104,0.0104
12,Berger-71,-1.3628,0.3407,0.0086,0.0086
12,Berger-71,-1.5575,0.2910,0.0073,0.0073
12,Berger-71,-1.7522,0.2488,0.0069,0.0069
12,Berger-71,-1.9469,0.2056,0.0086,0.0086
12,Price-71,-0.0389,2.5092,0.0379,0.0379
12,Price-71,-0.0778,2.2327,0.0338,0.0338
12,Price-71,-0.1160,2.0349,0.0160,0.0160
12,Price-71,-0.1300,1.9391,0.0206,0.0206
12,Price-71,-0.1900,1.6914,0.0124,0.0124
12,Price-71,-0.2700,1.4149,0.0159,0.0159
12,Price-71,-0.3300,1.2716,0.0083,0.0083
12,Price-71,-0.3900,1.1323,0.0097,0.0097
12,Price-71,-0.4500,1.0262,0.0097,0.0097
12,Price-71,-0.5300,0.9017,0.0144,0.0144
12,Price-71,-0.5800,0.8479,0.0053,0.0053
12,Price-71,-0.6500,0.7668,0.0085,0.0085
12,Price-71,-0.7200,0.6899,0.0101,0.0101
12,Price-71,-0.7800,0.6465,0.0062,0.0062
12,Price-71,-0.9400,0.5235,0.0057,0.0057
12,Price-71,-1.1000,0.4523,0.0035,0.0035
12,Price-71,-1.3500,0.3523,0.0034,0.0034
12,Price-71,-1.7500,0.2484,0.0026,0.0026
12,Bartel-73,-0.6700,0.7140,0.0221,0.0221
12,Bartel-73,-1.0000,0.4900,0.0142,0.0142
12,Bartel-73,-1.1690,0.4100,0.0086,0.0086
12,Bartel-73,-1.5000,0.2980,0.0092,0.0092
12,Bartel-73,-1.7500,0.2460,0.0052,0.0052
12,Bartel-73,-2.0000,0.2020,0.0040,0.0040
12,Bartel-73,-2.3300,0.1620,0.0036,0.0036
12,Bartel-73,-3.0000,0.1080,0.0024,0.0024
12,Hanson-73,-0.2726,1.4080,0.0155,0.0155
12,Hanson-73,-0.3894,1.1336,0.0102,0.0102
12,Hanson-73,-0.5841,0.8427,0.0051,0.0051
12,Hanson-73,-0.7788,0.6477,0.0065,0.0065
12,Hanson-73,-1.1681,0.4202,0.0034,0.0034
12,Hanson-73,-1.7522,0.2480,0.0027,0.0027
12,Kirk-73,-0.9990,0.484000,0.004469,0.004469
12,Kirk-73,-1.4980,0.299114,0.002793,0.002793
12,Kirk-73,-1.9990,0.200526,0.001955,0.001955
12,Kirk-73,-2.5020,0.141067,0.001117,0.001117
12,Kirk-73,-3.7590,0.072782,0.000726,0.000726
12,Kirk-73,-5.0750,0.042731,0.000447,0.000447
12,Kirk-73,-6.2700,0.027901,0.000642,0.000642
12,Kirk-73,-7.4980,0.019801,0.000307,0.000307
12,Kirk-73,-8.7520,0.013853,0.000419,0.000419
12,Kirk-73,-9.9820,0.011275,0.000218,0.000218
12,Kirk-73,-12.5000,0.006854,0.000246,0.000246
12,Kirk-73,-15.1000,0.004695,0.000240,0.000240
12,Kirk-73,-20.0000,0.002586,0.000251,0.000251
12,Kirk-73,-25.0300,0.002178,0.000475,0.000475
12,Hohler-76,-0.0171,2.6800,0.0616,0.0616
12,Hohler-76,-0.0230,2.5300,0.0455,0.0455
12,Hohler-76,-0.0280,2.5900,0.1010,0.1010
12,Hohler-76,-0.0319,2.6600,0.0878,0.0878
12,Hohler-76,-0.0389,2.5200,0.0277,0.0277
12,Hohler-76,-0.0440,2.4400,0.1391,0.1391
12,Hohler-76,-0.0479,2.4300,0.0194,0.0194
