# Data e+e- -> pi+pi-
# Source: BaBar, 2009-PRL-103-231801_Aubert
# s [GeV^2], |F_pi|^2, err. |F_pi|^2, err. |F_pi|^2
Code,Abbrev,x,y,dy+,dy-
101,Aubert-09,0.0930,1.6543,0.1753,0.1753
101,Aubert-09,0.0992,1.6203,0.1332,0.1332
101,Aubert-09,0.1056,1.6412,0.1100,0.1100
101,Aubert-09,0.1122,1.5804,0.0957,0.0957
101,Aubert-09,0.1190,1.7384,0.0945,0.0945
101,Aubert-09,0.1260,1.8512,0.0951,0.0951
101,Aubert-09,0.1332,1.8413,0.0890,0.0890
101,Aubert-09,0.1406,1.8816,0.0878,0.0878
101,Aubert-09,0.1482,2.1450,0.0905,0.0905
101,Aubert-09,0.1560,2.1295,0.0808,0.0808
101,Aubert-09,0.1640,2.3552,0.0817,0.0817
101,Aubert-09,0.1722,2.3170,0.0768,0.0768
101,Aubert-09,0.1806,2.4852,0.0813,0.0813
101,Aubert-09,0.1892,2.5060,0.0745,0.0745
101,Aubert-09,0.1980,2.6559,0.0794,0.0794
101,Aubert-09,0.2070,2.6969,0.0742,0.0742
101,Aubert-09,0.2162,2.9297,0.0795,0.0795
101,Aubert-09,0.2256,3.1762,0.0847,0.0847
101,Aubert-09,0.2352,3.3337,0.0858,0.0858
101,Aubert-09,0.2450,3.4343,0.0827,0.0827
101,Aubert-09,0.2510,3.4543,0.1006,0.1006
101,Aubert-09,0.2530,3.5227,0.0925,0.0925
101,Aubert-09,0.2550,3.6084,0.0922,0.0922
101,Aubert-09,0.2570,3.5925,0.0983,0.0983
101,Aubert-09,0.2591,3.6132,0.1094,0.1094
101,Aubert-09,0.2611,3.6743,0.1052,0.1052
101,Aubert-09,0.2632,3.8831,0.1183,0.1183
101,Aubert-09,0.2652,3.8209,0.1109,0.1109
101,Aubert-09,0.2673,3.8915,0.0941,0.0941
101,Aubert-09,0.2694,3.9714,0.1010,0.1010
101,Aubert-09,0.2714,3.8896,0.1041,0.1041
101,Aubert-09,0.2735,4.0368,0.1173,0.1173
101,Aubert-09,0.2756,4.1818,0.1244,0.1244
101,Aubert-09,0.2777,4.1591,0.1001,0.1001
101,Aubert-09,0.2798,4.2714,0.0997,0.0997
101,Aubert-09,0.2820,4.2651,0.1252,0.1252
101,Aubert-09,0.2841,4.3597,0.1251,0.1251
101,Aubert-09,0.2862,4.5237,0.1080,0.1080
101,Aubert-09,0.2884,4.6539,0.1048,0.1048
101,Aubert-09,0.2905,4.6381,0.1128,0.1128
101,Aubert-09,0.2927,4.7809,0.1301,0.1301
101,Aubert-09,0.2948,4.9134,0.1244,0.1244
101,Aubert-09,0.2970,4.8708,0.1249,0.1249
101,Aubert-09,0.2992,5.0946,0.1361,0.1361
101,Aubert-09,0.3014,5.1392,0.1147,0.1147
101,Aubert-09,0.3036,5.1668,0.1244,0.1244
101,Aubert-09,0.3058,5.1584,0.1346,0.1346
101,Aubert-09,0.3080,5.3789,0.1336,0.1336
101,Aubert-09,0.3102,5.3321,0.1392,0.1392
101,Aubert-09,0.3125,5.2993,0.1093,0.1093
101,Aubert-09,0.3147,5.5096,0.1333,0.1333
