# Data e+e- -> pi+pi-
# Source: CLEO, 2018-PR-D97-032012
# s [GeV^2], |F_pi|^2, err. |F_pi|^2, err. |F_pi|^2
Code,Abbrev,x,y,dy+,dy-
101,Xiao-18,0.0961,1.5786,0.3201,0.3201
101,Xiao-18,0.1089,1.7789,0.2570,0.2570
101,Xiao-18,0.1225,1.9081,0.2235,0.2235
101,Xiao-18,0.1369,1.6895,0.1920,0.1920
101,Xiao-18,0.1521,2.0548,0.2042,0.2042
101,Xiao-18,0.1681,2.2012,0.2115,0.2115
101,Xiao-18,0.1849,2.3958,0.2389,0.2389
101,Xiao-18,0.2025,2.5781,0.2194,0.2194
101,Xiao-18,0.2209,2.9593,0.2356,0.2356
101,Xiao-18,0.2401,3.3549,0.2483,0.2483
101,Xiao-18,0.2601,3.6091,0.2567,0.2567
101,Xiao-18,0.2809,4.6095,0.2984,0.2984
101,Xiao-18,0.3025,4.9016,0.2823,0.2823
101,Xiao-18,0.3249,5.4145,0.2858,0.2858
101,Xiao-18,0.3481,6.9877,0.3368,0.3368
101,Xiao-18,0.3721,8.3615,0.3650,0.3650
101,Xiao-18,0.3969,10.6586,0.4203,0.4203
101,Xiao-18,0.4225,13.5560,0.4773,0.4773
101,Xiao-18,0.4489,16.9115,0.5304,0.5304
101,Xiao-18,0.4761,21.7876,0.6220,0.6220
101,Xiao-18,0.5041,28.4380,0.7010,0.7010
101,Xiao-18,0.5329,36.5163,0.8045,0.8045
101,Xiao-18,0.5625,41.5177,0.8776,0.8776
101,Xiao-18,0.5929,45.8904,0.9691,0.9691
101,Xiao-18,0.6241,32.6866,0.8374,0.8374
101,Xiao-18,0.6561,26.2698,0.7198,0.7198
101,Xiao-18,0.6889,20.7375,0.6421,0.6421
101,Xiao-18,0.7225,15.4634,0.5600,0.5600
101,Xiao-18,0.7569,12.2252,0.4981,0.4981
101,Xiao-18,0.7921,9.0276,0.4310,0.4310
101,Xiao-18,0.8281,7.8489,0.4093,0.4093
101,Xiao-18,0.8649,5.6626,0.3473,0.3473
101,Xiao-18,0.9025,4.5091,0.3149,0.3149
101,Xiao-18,0.9409,3.7504,0.2899,0.2899
101,Xiao-18,0.9801,2.6871,0.2464,0.2464
# Data e+e- -> pi+pi-
# Source: CLEO, 2018-PR-D97-032012
# s [GeV^2], sigma_dressed [nb], err. sigma_dressed, err. sigma_dressed
103,Xiao-18,0.0961,29.3505,5.9494,5.9494
103,Xiao-18,0.1089,53.8197,7.7740,7.7740
103,Xiao-18,0.1225,74.2524,8.6944,8.6944
103,Xiao-18,0.1369,75.7786,8.6089,8.6089
103,Xiao-18,0.1521,99.9137,9.9212,9.9212
103,Xiao-18,0.1681,111.7246,10.7312,10.7312
103,Xiao-18,0.1849,123.8212,12.3420,12.3420
103,Xiao-18,0.2025,133.3945,11.3420,11.3420
103,Xiao-18,0.2209,151.4753,12.0458,12.0458
103,Xiao-18,0.2401,168.4330,12.4468,12.4468
103,Xiao-18,0.2601,176.6158,12.5437,12.5437
103,Xiao-18,0.2809,218.8725,14.1435,14.1435
103,Xiao-18,0.3025,225.0684,12.9327,12.9327
103,Xiao-18,0.3249,239.8343,12.6229,12.6229
103,Xiao-18,0.3481,298.0486,14.3120,14.3120
103,Xiao-18,0.3721,342.9963,14.8957,14.8957
103,Xiao-18,0.3969,420.1210,16.4736,16.4736
103,Xiao-18,0.4225,513.1367,17.9457,17.9457
103,Xiao-18,0.4489,614.5644,19.1156,19.1156
103,Xiao-18,0.4761,760.0058,21.4853,21.4853
103,Xiao-18,0.5041,952.2045,23.1898,23.1898
103,Xiao-18,0.5329,1173.8013,25.4641,25.4641
103,Xiao-18,0.5625,1281.4709,26.4072,26.4072
103,Xiao-18,0.5929,1360.4641,27.2840,27.2840
103,Xiao-18,0.6241,931.0468,22.3770,22.3770
103,Xiao-18,0.6561,719.2157,19.2488,19.2488
103,Xiao-18,0.6889,545.9322,16.6933,16.6933
103,Xiao-18,0.7225,391.6146,14.0538,14.0538
103,Xiao-18,0.7569,297.9736,12.0481,12.0481
103,Xiao-18,0.7921,211.8697,10.0498,10.0498
103,Xiao-18,0.8281,177.4517,9.1983,9.1983
103,Xiao-18,0.8649,123.3890,7.5251,7.5251
103,Xiao-18,0.9025,94.7442,6.5767,6.5767
103,Xiao-18,0.9409,76.0240,5.8324,5.8324
103,Xiao-18,0.9801,52.5751,4.7706,4.7706
# Data e+e- -> pi+pi-
# Source: CLEO, 2018-PR-D97-032012
# s [GeV^2], |F_pi^c|^2, err. |F_pi^c|^2, err. |F_pi^c|^2
105,Xiao-18,0.0961,1.2579,0.1274,0.1274
105,Xiao-18,0.1089,1.3352,0.0964,0.0964
105,Xiao-18,0.1225,1.3828,0.0809,0.0809
105,Xiao-18,0.1369,1.3012,0.0739,0.0739
105,Xiao-18,0.1521,1.4348,0.0712,0.0712
105,Xiao-18,0.1681,1.4848,0.0713,0.0713
105,Xiao-18,0.1849,1.5489,0.0772,0.0772
105,Xiao-18,0.2025,1.6065,0.0683,0.0683
105,Xiao-18,0.2209,1.7209,0.0685,0.0685
105,Xiao-18,0.2401,1.8320,0.0678,0.0678
105,Xiao-18,0.2601,1.8998,0.0676,0.0676
105,Xiao-18,0.2809,2.1465,0.0695,0.0695
105,Xiao-18,0.3025,2.2129,0.0638,0.0638
105,Xiao-18,0.3249,2.3250,0.0614,0.0614
105,Xiao-18,0.3481,2.6403,0.0637,0.0637
105,Xiao-18,0.3721,2.8869,0.0631,0.0631
105,Xiao-18,0.3969,3.2577,0.0644,0.0644
105,Xiao-18,0.4225,3.6713,0.0648,0.0648
105,Xiao-18,0.4489,4.0964,0.0645,0.0645
105,Xiao-18,0.4761,4.6430,0.0666,0.0666
105,Xiao-18,0.5041,5.2931,0.0657,0.0657
105,Xiao-18,0.5329,5.9761,0.0666,0.0666
105,Xiao-18,0.5625,6.3192,0.0681,0.0681
105,Xiao-18,0.5929,6.4569,0.0716,0.0716
105,Xiao-18,0.6241,6.1556,0.0734,0.0734
105,Xiao-18,0.6561,5.2747,0.0702,0.0702
105,Xiao-18,0.6889,4.6344,0.0705,0.0705
105,Xiao-18,0.7225,3.9842,0.0712,0.0712
105,Xiao-18,0.7569,3.5330,0.0712,0.0712
105,Xiao-18,0.7921,3.0319,0.0717,0.0717
105,Xiao-18,0.8281,2.8229,0.0731,0.0731
105,Xiao-18,0.8649,2.3967,0.0730,0.0730
105,Xiao-18,0.9025,2.1376,0.0742,0.0742
105,Xiao-18,0.9409,1.9485,0.0749,0.0749
105,Xiao-18,0.9801,1.6494,0.0752,0.0752
# EOF
