# Data e+e- -> pi+pi-
# Source: KLOE, 2011-PL-B700-102_Ambrosino
# s [GeV^2], |F_pi|^2, err. |F_pi|^2, err. |F_pi|^2
Code,Abbrev,x,y,dy+,dy-
101,Ambrosino-11,0.1050,1.6300,0.2700,0.2700
101,Ambrosino-11,0.1150,1.9200,0.2600,0.2600
101,Ambrosino-11,0.1250,1.8900,0.2400,0.2400
101,Ambrosino-11,0.1350,1.7400,0.2300,0.2300
101,Ambrosino-11,0.1450,1.7800,0.2300,0.2300
101,Ambrosino-11,0.1550,2.0200,0.2300,0.2300
101,Ambrosino-11,0.1650,2.2100,0.2600,0.2600
101,Ambrosino-11,0.1750,2.3200,0.2400,0.2400
101,Ambrosino-11,0.1850,2.3800,0.2300,0.2300
101,Ambrosino-11,0.1950,2.7500,0.2600,0.2600
101,Ambrosino-11,0.2050,2.7200,0.2400,0.2400
101,Ambrosino-11,0.2150,2.8100,0.2300,0.2300
101,Ambrosino-11,0.2250,2.9700,0.2200,0.2200
101,Ambrosino-11,0.2350,3.3100,0.2300,0.2300
101,Ambrosino-11,0.2450,3.3200,0.2200,0.2200
101,Ambrosino-11,0.2550,3.5200,0.2100,0.2100
101,Ambrosino-11,0.2650,4.1000,0.2200,0.2200
101,Ambrosino-11,0.2750,4.1800,0.2100,0.2100
101,Ambrosino-11,0.2850,4.4900,0.2100,0.2100
101,Ambrosino-11,0.2950,4.7800,0.2100,0.2100
101,Ambrosino-11,0.3050,5.1000,0.2100,0.2100
101,Ambrosino-11,0.3150,5.3600,0.2100,0.2100
101,Ambrosino-11,0.3250,5.5300,0.2100,0.2100
101,Ambrosino-11,0.3350,5.7900,0.2100,0.2100
101,Ambrosino-11,0.3450,6.4400,0.2100,0.2100
101,Ambrosino-11,0.3550,7.1300,0.2200,0.2200
101,Ambrosino-11,0.3650,7.7900,0.2200,0.2200
101,Ambrosino-11,0.3750,8.4300,0.2200,0.2200
101,Ambrosino-11,0.3850,9.4700,0.2300,0.2300
101,Ambrosino-11,0.3950,10.0200,0.2300,0.2300
101,Ambrosino-11,0.4050,10.9400,0.2300,0.2300
101,Ambrosino-11,0.4150,11.8300,0.2300,0.2300
101,Ambrosino-11,0.4250,13.4000,0.2400,0.2400
101,Ambrosino-11,0.4350,14.6200,0.2400,0.2400
101,Ambrosino-11,0.4450,15.6400,0.2400,0.2400
101,Ambrosino-11,0.4550,17.2100,0.2500,0.2500
101,Ambrosino-11,0.4650,19.5500,0.2600,0.2600
101,Ambrosino-11,0.4750,20.6400,0.2600,0.2600
101,Ambrosino-11,0.4850,23.9000,0.2800,0.2800
101,Ambrosino-11,0.4950,25.3000,0.2800,0.2800
101,Ambrosino-11,0.5050,27.6500,0.2900,0.2900
101,Ambrosino-11,0.5150,31.2400,0.3100,0.3100
101,Ambrosino-11,0.5250,32.6400,0.3100,0.3100
101,Ambrosino-11,0.5350,35.8400,0.3300,0.3300
101,Ambrosino-11,0.5450,38.4900,0.3400,0.3400
101,Ambrosino-11,0.5550,40.5900,0.3400,0.3400
101,Ambrosino-11,0.5650,41.6800,0.3400,0.3400
101,Ambrosino-11,0.5750,42.7100,0.3400,0.3400
101,Ambrosino-11,0.5850,43.3800,0.3400,0.3400
101,Ambrosino-11,0.5950,42.9400,0.3300,0.3300
101,Ambrosino-11,0.6050,43.4200,0.3300,0.3300
101,Ambrosino-11,0.6150,34.0900,0.2700,0.2700
101,Ambrosino-11,0.6250,29.8100,0.2500,0.2500
101,Ambrosino-11,0.6350,29.0800,0.2400,0.2400
101,Ambrosino-11,0.6450,27.9100,0.2300,0.2300
101,Ambrosino-11,0.6550,25.7700,0.2100,0.2100
101,Ambrosino-11,0.6650,23.6800,0.2000,0.2000
101,Ambrosino-11,0.6750,22.2500,0.1900,0.1900
101,Ambrosino-11,0.6850,20.8400,0.1800,0.1800
101,Ambrosino-11,0.6950,18.9100,0.1600,0.1600
101,Ambrosino-11,0.7050,17.3200,0.1500,0.1500
101,Ambrosino-11,0.7150,15.9200,0.1400,0.1400
101,Ambrosino-11,0.7250,14.6400,0.1300,0.1300
101,Ambrosino-11,0.7350,13.5300,0.1200,0.1200
101,Ambrosino-11,0.7450,12.4200,0.1100,0.1100
101,Ambrosino-11,0.7550,11.4900,0.1000,0.1000
101,Ambrosino-11,0.7650,10.6700,0.0900,0.0900
101,Ambrosino-11,0.7750,9.9700,0.0900,0.0900
101,Ambrosino-11,0.7850,9.2700,0.0800,0.0800
101,Ambrosino-11,0.7950,8.6200,0.0800,0.0800
101,Ambrosino-11,0.8050,8.2300,0.0700,0.0700
101,Ambrosino-11,0.8150,7.6400,0.0700,0.0700
101,Ambrosino-11,0.8250,7.1300,0.0600,0.0600
101,Ambrosino-11,0.8350,6.6900,0.0600,0.0600
101,Ambrosino-11,0.8450,6.2800,0.0500,0.0500
# s [GeV^2], sigma_dressed [nb], err. sigma_dressed, err. sigma_dressed
103,Ambrosino-11,0.1050,43.8015,6.9684,6.9684
103,Ambrosino-11,0.1150,66.8722,8.9828,8.9828
103,Ambrosino-11,0.1250,75.9770,8.9973,8.9973
103,Ambrosino-11,0.1350,77.0649,10.0084,10.0084
103,Ambrosino-11,0.1450,84.1420,11.0186,11.0186
103,Ambrosino-11,0.1550,99.2292,11.0255,11.0255
103,Ambrosino-11,0.1650,111.3101,13.0363,13.0363
103,Ambrosino-11,0.1750,119.3736,12.0377,12.0377
103,Ambrosino-11,0.1850,122.4169,12.0410,12.0410
103,Ambrosino-11,0.1950,142.5141,13.0471,13.0471
103,Ambrosino-11,0.2050,140.5240,13.0487,13.0487
103,Ambrosino-11,0.2150,144.5488,12.0457,12.0457
103,Ambrosino-11,0.2250,151.5936,11.0432,11.0432
103,Ambrosino-11,0.2350,167.6395,12.0460,12.0460
103,Ambrosino-11,0.2450,165.6152,11.0410,11.0410
103,Ambrosino-11,0.2550,173.6213,10.0359,10.0359
103,Ambrosino-11,0.2650,198.6733,11.0374,11.0374
103,Ambrosino-11,0.2750,199.6364,10.0320,10.0320
103,Ambrosino-11,0.2850,211.6298,10.0299,10.0299
103,Ambrosino-11,0.2950,222.6046,10.0273,10.0273
103,Ambrosino-11,0.3050,233.5717,10.0246,10.0246
103,Ambrosino-11,0.3150,241.5199,9.0195,9.0195
103,Ambrosino-11,0.3250,244.4428,9.0164,9.0164
103,Ambrosino-11,0.3350,252.3496,9.0126,9.0126
103,Ambrosino-11,0.3450,276.2691,9.0089,9.0089
103,Ambrosino-11,0.3550,301.1620,9.0050,9.0050
103,Ambrosino-11,0.3650,323.0122,9.0006,9.0006
103,Ambrosino-11,0.3750,343.8397,8.9961,8.9961
103,Ambrosino-11,0.3850,380.6292,8.9916,8.9916
103,Ambrosino-11,0.3950,396.3954,8.9867,8.9867
103,Ambrosino-11,0.4050,425.1160,8.9819,8.9819
103,Ambrosino-11,0.4150,452.8151,8.9771,8.9771
103,Ambrosino-11,0.4250,505.3945,8.9722,8.9722
103,Ambrosino-11,0.4350,542.9696,8.9674,8.9674
103,Ambrosino-11,0.4450,571.5626,8.9630,8.9630
103,Ambrosino-11,0.4550,619.0709,8.9593,8.9593
103,Ambrosino-11,0.4650,693.4494,8.9563,8.9563
103,Ambrosino-11,0.4750,721.1274,8.9542,8.9542
103,Ambrosino-11,0.4850,823.5356,9.9491,9.9491
103,Ambrosino-11,0.4950,858.4910,9.9511,9.9511
103,Ambrosino-11,0.5050,925.5724,9.9568,9.9568
