# Collected by A. Liptaj
# [GeV^2],	|F_pi|,	err. |F_pi|
Code,Abbrev,x,y,dy+,dy-
101,AL,-13.480,0.0749,0.0097,0.0097
101,AL,-9.7700,0.0700,0.0190,0.0190
101,AL,-6.3000,0.0590,0.0300,0.0300
101,AL,-3.9900,0.0040,0.6780,0.6780
101,AL,-3.3300,0.0860,0.0330,0.0330
101,AL,-3.3000,0.1020,0.0230,0.0230
101,AL,-2.4500,0.1670,0.0141,0.0141
101,AL,-1.9900,0.1790,0.0210,0.0210
101,AL,-1.9400,0.1930,0.0250,0.0250
101,AL,-1.7100,0.2380,0.0200,0.0200
101,AL,-1.6000,0.2430,0.0181,0.0181
101,AL,-1.6000,0.2330,0.1405,0.1405
101,AL,-1.2200,0.2900,0.0300,0.0300
101,AL,-1.2000,0.2940,0.0190,0.0190
101,AL,-1.1800,0.2560,0.0260,0.0260
101,AL,-1.0700,0.3090,0.0190,0.0190
101,AL,-1.0000,0.3120,0.0314,0.0314
101,AL,-0.7900,0.3840,0.0140,0.0140
101,AL,-0.7500,0.3410,0.0588,0.0588
101,AL,-0.7000,0.4730,0.0427,0.0427
101,AL,-0.7000,0.4200,0.0150,0.0150
101,AL,-0.6200,0.4450,0.0160,0.0160
101,AL,-0.6000,0.4330,0.0882,0.0882
101,AL,-0.4000,0.5700,0.0160,0.0160
101,AL,-0.3500,0.6320,0.0230,0.0230
101,AL,-0.2900,0.6340,0.0290,0.0290
101,AL,-0.2530,0.5797,0.0630,0.0630
101,AL,-0.2430,0.7701,0.0480,0.0480
101,AL,-0.2330,0.6458,0.0449,0.0449
101,AL,-0.2230,0.6979,0.0351,0.0351
101,AL,-0.2130,0.7849,0.0306,0.0306
101,AL,-0.2030,0.7273,0.0275,0.0275
101,AL,-0.1930,0.7376,0.0244,0.0244
101,AL,-0.1830,0.7655,0.0222,0.0222
101,AL,-0.1800,0.8500,0.0440,0.0440
101,AL,-0.1730,0.7308,0.0205,0.0205
101,AL,-0.1630,0.7503,0.0160,0.0160
101,AL,-0.1530,0.8087,0.0142,0.0142
101,AL,-0.1440,0.7849,0.0146,0.0146
101,AL,-0.1370,0.8037,0.0168,0.0168
101,AL,-0.1310,0.8068,0.0149,0.0149
101,AL,-0.1250,0.8155,0.0141,0.0141
101,AL,-0.1190,0.8222,0.0128,0.0128
101,AL,-0.1130,0.8295,0.0121,0.0121
101,AL,-0.1070,0.8343,0.0114,0.0114
101,AL,-0.1010,0.8246,0.0103,0.0103
101,AL,-0.0950,0.8509,0.0106,0.0106
101,AL,-0.0920,0.8532,0.0293,0.0293
101,AL,-0.0890,0.8456,0.0095,0.0095
101,AL,-0.0880,0.8485,0.0277,0.0277
101,AL,-0.0840,0.8955,0.0251,0.0251
101,AL,-0.0830,0.8701,0.0086,0.0086
101,AL,-0.0800,0.8746,0.0234,0.0234
101,AL,-0.0780,0.8769,0.0097,0.0097
101,AL,-0.0760,0.8729,0.0218,0.0218
101,AL,-0.0740,0.8815,0.0091,0.0091
101,AL,-0.0720,0.8894,0.0197,0.0197
101,AL,-0.0700,0.8860,0.0085,0.0085
101,AL,-0.0670,0.8701,0.0184,0.0184
101,AL,-0.0660,0.8866,0.0079,0.0079
101,AL,-0.0630,0.9154,0.0158,0.0158
101,AL,-0.0620,0.8994,0.0067,0.0067
101,AL,-0.0590,0.8758,0.0154,0.0154
101,AL,-0.0580,0.8944,0.0067,0.0067
101,AL,-0.0550,0.9116,0.0137,0.0137
101,AL,-0.0540,0.8950,0.0061,0.0061
101,AL,-0.0510,0.9165,0.0131,0.0131
101,AL,-0.0500,0.9110,0.0055,0.0055
101,AL,-0.0470,0.9061,0.0121,0.0121
101,AL,-0.0460,0.9149,0.0049,0.0049
101,AL,-0.0430,0.9301,0.0113,0.0113
101,AL,-0.0420,0.9214,0.0049,0.0049
101,AL,-0.0390,0.9257,0.0059,0.0059
101,AL,-0.0390,0.9257,0.0103,0.0103
101,AL,-0.0370,0.9359,0.0059,0.0059
101,AL,-0.0350,0.9306,0.0054,0.0054
101,AL,-0.0330,0.9434,0.0048,0.0048
101,AL,-0.0310,0.9402,0.0048,0.0048
101,AL,-0.0290,0.9402,0.0043,0.0043
101,AL,-0.0270,0.9476,0.0042,0.0042
101,AL,-0.0250,0.9513,0.0037,0.0037
101,AL,-0.0230,0.9560,0.0037,0.0037
101,AL,-0.0210,0.9623,0.0031,0.0031
101,AL,-0.0190,0.9659,0.0031,0.0031
101,AL,-0.0170,0.9597,0.0031,0.0031
101,AL,-0.0150,0.9716,0.0036,0.0036
101,AL, 0.0590,0.9000,0.0900,0.0900
101,AL, 0.0680,1.1000,0.0700,0.0700
101,AL, 0.0750,1.0000,0.0800,0.0800
101,AL, 0.0800,1.0700,0.1700,0.1700
101,AL, 0.0880,1.1400,0.0600,0.0600
101,AL, 0.0900,1.0600,0.0900,0.0900
101,AL, 0.1010,1.1619,0.0387,0.0387
101,AL, 0.1060,1.1200,0.0900,0.0900
101,AL, 0.1160,1.3000,0.0700,0.0700
101,AL, 0.1220,1.2600,0.0800,0.0800
101,AL, 0.1270,1.2166,0.0411,0.0411
101,AL, 0.1296,1.3675,0.0585,0.0585
101,AL, 0.1369,1.4318,0.0419,0.0419
101,AL, 0.1414,1.4595,0.0685,0.0685
