# Data tau
# Source: Belle, 2008-PRD-78-072006_Fujikawa
# M_PiPi^2 [GeV^2],	F_pi^2,	Err. F_pi^2, Err. F_pi^2
Code,Abbrev,x,y,dy+,dy-
102,Fujikawa-08,0.088,1.434,0.666,0.666
102,Fujikawa-08,0.125,1.707,0.369,0.369
102,Fujikawa-08,0.175,2.362,0.341,0.341
102,Fujikawa-08,0.225,3.211,0.252,0.252
102,Fujikawa-08,0.275,4.260,0.134,0.134
102,Fujikawa-08,0.325,5.622,0.074,0.074
102,Fujikawa-08,0.375,8.492,0.088,0.088
102,Fujikawa-08,0.425,13.392,0.206,0.206
102,Fujikawa-08,0.475,21.894,0.290,0.290
102,Fujikawa-08,0.525,33.384,0.306,0.306
102,Fujikawa-08,0.575,40.996,0.295,0.295
102,Fujikawa-08,0.625,34.503,0.268,0.268
102,Fujikawa-08,0.675,23.936,0.233,0.233
102,Fujikawa-08,0.725,15.324,0.129,0.129
102,Fujikawa-08,0.775,10.525,0.149,0.149
102,Fujikawa-08,0.825,7.637,0.121,0.121
102,Fujikawa-08,0.875,5.639,0.060,0.060
102,Fujikawa-08,0.925,4.350,0.069,0.069
102,Fujikawa-08,0.975,3.435,0.057,0.057
102,Fujikawa-08,1.025,2.851,0.044,0.044
102,Fujikawa-08,1.075,2.439,0.056,0.056
102,Fujikawa-08,1.125,2.087,0.028,0.028
102,Fujikawa-08,1.175,1.847,0.059,0.059
102,Fujikawa-08,1.225,1.667,0.053,0.053
102,Fujikawa-08,1.275,1.486,0.022,0.022
102,Fujikawa-08,1.325,1.339,0.042,0.042
102,Fujikawa-08,1.375,1.229,0.027,0.027
102,Fujikawa-08,1.425,1.132,0.034,0.034
102,Fujikawa-08,1.475,1.025,0.035,0.035
102,Fujikawa-08,1.525,0.913,0.030,0.030
102,Fujikawa-08,1.575,0.818,0.019,0.019
102,Fujikawa-08,1.625,0.711,0.017,0.017
102,Fujikawa-08,1.675,0.636,0.017,0.017
102,Fujikawa-08,1.725,0.576,0.015,0.015
102,Fujikawa-08,1.775,0.511,0.014,0.014
102,Fujikawa-08,1.825,0.439,0.013,0.013
102,Fujikawa-08,1.875,0.382,0.013,0.013
102,Fujikawa-08,1.925,0.318,0.012,0.012
102,Fujikawa-08,1.975,0.255,0.011,0.011
102,Fujikawa-08,2.025,0.211,0.010,0.010
102,Fujikawa-08,2.075,0.162,0.010,0.010
102,Fujikawa-08,2.125,0.117,0.009,0.009
102,Fujikawa-08,2.175,0.085,0.009,0.009
102,Fujikawa-08,2.225,0.060,0.008,0.008
102,Fujikawa-08,2.275,0.040,0.006,0.006
102,Fujikawa-08,2.325,0.027,0.010,0.010
102,Fujikawa-08,2.375,0.019,0.020,0.020
102,Fujikawa-08,2.425,0.017,0.025,0.025
102,Fujikawa-08,2.475,0.017,0.020,0.020
102,Fujikawa-08,2.525,0.019,0.011,0.011
102,Fujikawa-08,2.575,0.024,0.007,0.007
102,Fujikawa-08,2.625,0.036,0.010,0.010
102,Fujikawa-08,2.675,0.050,0.015,0.015
102,Fujikawa-08,2.725,0.066,0.021,0.021
102,Fujikawa-08,2.775,0.083,0.025,0.025
102,Fujikawa-08,2.825,0.102,0.053,0.053
102,Fujikawa-08,2.875,0.132,0.086,0.086
102,Fujikawa-08,2.925,0.165,0.120,0.120
102,Fujikawa-08,2.975,0.178,0.090,0.090
102,Fujikawa-08,3.025,0.165,0.084,0.084
102,Fujikawa-08,3.075,0.203,0.113,0.113
102,Fujikawa-08,3.125,0.287,0.160,0.160
# EOF
