# Pion phase shift D data
# Source: R. García-Martín 2011
# sqrt(s) [GeV], delta_2^0 [deg], err. delta_2^0 [deg]
Code,Abbrev,x,y,dy+,dy-
130,GKPY,0.310, -1.50,0.10,0.10
130,GKPY,0.340, -2.50,0.10,0.10
130,GKPY,0.370, -3.50,0.10,0.10
130,GKPY,0.400, -4.60,0.20,0.20
130,GKPY,0.430, -5.70,0.20,0.20
130,GKPY,0.460, -6.70,0.30,0.30
130,GKPY,0.490, -7.80,0.30,0.30
130,GKPY,0.520, -8.90,0.30,0.30
130,GKPY,0.550, -9.90,0.40,0.40
130,GKPY,0.580,-11.00,0.40,0.40
130,GKPY,0.610,-12.00,0.50,0.50
130,GKPY,0.640,-13.10,0.60,0.60
130,GKPY,0.670,-14.10,0.60,0.60
130,GKPY,0.700,-15.10,0.70,0.70
130,GKPY,0.730,-16.20,0.80,0.80
130,GKPY,0.760,-17.20,0.90,0.90
130,GKPY,0.790,-18.20,1.00,1.00
130,GKPY,0.820,-19.20,1.10,1.10
130,GKPY,0.850,-20.20,1.20,1.20
130,GKPY,0.880,-21.20,1.30,1.30
130,GKPY,0.910,-22.10,1.40,1.40
130,GKPY,0.940,-22.90,1.50,1.50
130,GKPY,0.970,-23.90,1.70,1.70
# EOF
