# Pion phase shift S data
# Source: R. García-Martín 2011
# sqrt(s) [GeV], delta_0^0 [deg], err. delta_0^0 [deg]
Code,Abbrev,x,y,dy+,dy-
110,GKPY,0.310,  7.10,0.30,0.30
110,GKPY,0.340, 11.70,0.50,0.50
110,GKPY,0.370, 16.50,0.70,0.70
110,GKPY,0.400, 21.50,1.00,1.00
110,GKPY,0.430, 26.60,1.30,1.30
110,GKPY,0.460, 31.90,1.80,1.80
110,GKPY,0.490, 36.90,3.00,3.00
110,GKPY,0.520, 40.70,7.50,7.50
110,GKPY,0.550, 50.50,5.40,5.40
110,GKPY,0.580, 54.70,3.20,3.20
110,GKPY,0.610, 59.30,2.50,2.50
110,GKPY,0.640, 63.80,2.10,2.10
110,GKPY,0.670, 68.10,1.80,1.80
110,GKPY,0.700, 72.20,1.70,1.70
110,GKPY,0.730, 76.20,1.60,1.60
110,GKPY,0.760, 80.30,1.60,1.60
110,GKPY,0.790, 84.30,1.60,1.60
110,GKPY,0.820, 88.60,1.70,1.70
110,GKPY,0.850, 93.50,1.80,1.80
110,GKPY,0.880, 99.70,2.20,2.20
110,GKPY,0.910,108.80,3.40,3.40
110,GKPY,0.940,122.70,7.00,7.00
110,GKPY,0.970,152.00,6.30,6.30
# EOF
