# Pion phase shift S data
# Source: R. Kamiński 2017
# s [GeV^2], delta_0^0 [rad], err. delta_0^0 [rad]
Code,Abbrev,x,y,dy+,dy-
110,Kaminski,0.0784,0.0174,0.0003,0.0003
110,Kaminski,0.0841,0.0660,0.0012,0.0012
110,Kaminski,0.0900,0.0972,0.0031,0.0031
110,Kaminski,0.0961,0.1253,0.0055,0.0055
110,Kaminski,0.1024,0.1525,0.0084,0.0084
110,Kaminski,0.1089,0.1795,0.0117,0.0117
110,Kaminski,0.1156,0.2066,0.0154,0.0154
110,Kaminski,0.1225,0.2341,0.0196,0.0196
110,Kaminski,0.1296,0.2621,0.0242,0.0242
110,Kaminski,0.1369,0.2906,0.0292,0.0292
110,Kaminski,0.1444,0.3196,0.0346,0.0346
110,Kaminski,0.1521,0.3492,0.0402,0.0402
110,Kaminski,0.1600,0.3792,0.0461,0.0461
110,Kaminski,0.1681,0.4097,0.0522,0.0522
110,Kaminski,0.1764,0.4406,0.0585,0.0585
110,Kaminski,0.1849,0.4719,0.0649,0.0649
110,Kaminski,0.1936,0.5035,0.0712,0.0712
110,Kaminski,0.2025,0.5353,0.0777,0.0777
110,Kaminski,0.2116,0.5672,0.0840,0.0840
110,Kaminski,0.2209,0.5993,0.0901,0.0901
110,Kaminski,0.2304,0.6313,0.0961,0.0961
110,Kaminski,0.2401,0.6633,0.1017,0.1017
110,Kaminski,0.2500,0.6952,0.1070,0.1070
110,Kaminski,0.2601,0.7269,0.1120,0.1120
110,Kaminski,0.2704,0.7584,0.1165,0.1165
110,Kaminski,0.2809,0.7897,0.1205,0.1205
110,Kaminski,0.2916,0.8206,0.1240,0.1240
110,Kaminski,0.3025,0.8511,0.1270,0.1270
110,Kaminski,0.3136,0.8812,0.1295,0.1295
110,Kaminski,0.3249,0.9109,0.1314,0.1314
110,Kaminski,0.3364,0.9401,0.1328,0.1328
110,Kaminski,0.3481,0.9688,0.1336,0.1336
110,Kaminski,0.3600,0.9971,0.1338,0.1338
110,Kaminski,0.3721,1.0249,0.1335,0.1335
110,Kaminski,0.3844,1.0522,0.1327,0.1327
110,Kaminski,0.3969,1.0790,0.1313,0.1313
110,Kaminski,0.4096,1.1053,0.1294,0.1294
110,Kaminski,0.4225,1.1312,0.1269,0.1269
110,Kaminski,0.4356,1.1567,0.1240,0.1240
110,Kaminski,0.4489,1.1817,0.1207,0.1207
110,Kaminski,0.4624,1.2064,0.1168,0.1168
110,Kaminski,0.4761,1.2307,0.1125,0.1125
110,Kaminski,0.4900,1.2547,0.1078,0.1078
110,Kaminski,0.5041,1.2784,0.1026,0.1026
110,Kaminski,0.5184,1.3019,0.0969,0.0969
110,Kaminski,0.5329,1.3252,0.0909,0.0909
110,Kaminski,0.5476,1.3483,0.0844,0.0844
110,Kaminski,0.5625,1.3714,0.0774,0.0774
110,Kaminski,0.5776,1.3944,0.0701,0.0701
110,Kaminski,0.5929,1.4174,0.0622,0.0622
110,Kaminski,0.6084,1.4405,0.0539,0.0539
110,Kaminski,0.6241,1.4638,0.0451,0.0451
110,Kaminski,0.6400,1.4874,0.0376,0.0376
110,Kaminski,0.6561,1.5113,0.0434,0.0434
110,Kaminski,0.6724,1.5357,0.0504,0.0504
110,Kaminski,0.6889,1.5606,0.0394,0.0394
110,Kaminski,0.7056,1.5862,0.0421,0.0421
110,Kaminski,0.7225,1.6127,0.0371,0.0371
110,Kaminski,0.7396,1.6418,0.0510,0.0510
110,Kaminski,0.7569,1.6755,0.0499,0.0499
110,Kaminski,0.7744,1.7144,0.0689,0.0689
110,Kaminski,0.7921,1.7594,0.0908,0.0908
110,Kaminski,0.8100,1.8117,0.1156,0.1156
110,Kaminski,0.8281,1.8726,0.1260,0.1260
110,Kaminski,0.8464,1.9440,0.1562,0.1562
110,Kaminski,0.8649,2.0285,0.1529,0.1529
110,Kaminski,0.8836,2.1296,0.1658,0.1658
110,Kaminski,0.9025,2.2529,0.1898,0.1898
110,Kaminski,0.9216,2.4074,0.1796,0.1796
110,Kaminski,0.9409,2.6104,0.1672,0.1672
110,Kaminski,0.9604,2.9030,0.1608,0.1608
110,Kaminski,0.9801,3.4832,0.1581,0.1581
110,Kaminski,1.0000,3.9789,0.1572,0.1572
# EOF
