"Year","Experiment","Abbrev","Journal","DOI"
# neutron ratios
"2006","JLab","Plaster-06","2006-PRC-73-025205","10.1103/PhysRevC.73.025205"
"2008","BLAST","Geis-08","2008-PRL-101-042501_Geis","10.1103/PhysRevLett.101.042501"
"2010","JLab","Riordan-10","2010-PRL-105-262302","10.1103/PhysRevLett.105.262302"
"2013","MAMI","Schlimme-13","2013-PRL-111-132504","10.1103/PhysRevLett.111.132504"
# neutron
"1973","CEA","Hanson-73","1973-PRD-8-753_Hanson","10.1103/PhysRevD.8.753"
"1994","CEBAF","Eden-94","1994-PRC-50-N4-1749_Eden","10.1103/PhysRevC.50.R1749"
"1998","FENICE","Antonelli-98","1998-NPB-517-3_Antonelli","10.1016/S0550-3213(98)00083-2"
"1999","MAMI","Becker-99","1999-EPJA-6-329_Becker","10.1007/s100500050351"
"1999","MAMI","Herberg-99","1999-EPJA-5-131_Herberg","10.1007/s100500050268"
"1999","MAMI","Ostrick-99","1999-PRL-83-N2-276_Ostrick","10.1103/PhysRevLett.83.276"
"1999","NIKHEF","Passchier-99","1999-PRL-82-N25-4988_Passchier","10.1103/PhysRevLett.82.4988"
"2001","JLab","Golak-01","2001-PRC-63-034006_Golak","10.1103/PhysRevC.63.034006"
"2001","JLab","Zhu-01","2001-PRL-87-N8-081801_Zhu","10.1103/PhysRevLett.87.081801"
"2003","MAMI","Bermuth-03","2003-PLB-564-199_Bermuth","10.1016/S0370-2693(03)00725-1"
"2004","JLab","Warren-04","2004-PRL-92-N4-042301-1_Warren","10.1103/PhysRevLett.92.042301"
"2005","MAMI","Glazier-05","2005-EPJA-24-101_Glazier","10.1140/epja/i2004-10115-8"
"2017","JLab","Sulkosky-17","2017-PRC-96-065206","10.1103/PhysRevC.96.0652006"
# proton ratios
"1998","Bates","Milbrath-98","1998-PRL-80-N3-452","10.1103/PhysRevLett.80.452"
"2001","Mainz","Dieterich-01","2001-PLB-500-47","10.1016/S0370-2693(01)00052-1"
"2001","Mainz","Pospischil-01","2001-EPJA-12-125","10.1007/s100500170046"
"2001","JLab","Gayou-01","2001-PRC-64-038202","10.1103/PhysRevC.64.038202"
"2002","JLab","Gayou-02","2002-PRL-88-N9-092301","10.1103/PhysRevLett.88.092301"
"2003","JLab","Strauch-03","2003-PRL-91-052301","10.1103/PhysRevLett.91.052301"
"2005","JLab","Punjabi-05","2005-PRC-71-055202","10.1103/PhysRevC.71.055202"
"2006","JLab","MacLachlan-06","2006-NPA-764-261","10.1016/j.nuclphysa.2005.09.012"
"2006","JLab","Jones-06","2006-PRC-74-035201","10.1103/PhysRevC.74.035201"
"2007","Bates","Crawford-07","2007-PRL-98-052301","10.1103/PhysRevLett.98.052301"
"2006","JLab","Hu-06","2006-PRC-73-064004","10.1103/PhysRevC.73.064004"
"2010","JLab","Paolone-10","2010-PRL-105-072001","10.1103/PhysRevLett.105.072001:"
"2010","JLab","Puckett-10","2010-PRL-104-242301","10.1103/PhysRevLett.104.242301"
"2011","JLab","Meziane-11","2011-PRL-106-132501","10.1103/PhysRevLett.106.132501"
"2011","JLab","Ron-11","2011-PRC-64-055204","10.1103/PhysRevC.84.055204"
"2011","JLab","Zhan-11","2011-PLB-705-59","10.1016/j.physletb.2011.10.002"
"2012","JLab","Puckett-12","2012-PRC-85-045203","10.1103/PhysRevC.85.045203"
"2013","BABAR","Lees-13","2013-PR-D87-092005","10.1103/PhysRevD.87.092005"
"2015","BESIII","Ablikim-15","2015-PR-D91-112004","10.1103/PhysRevD.91.112004"
"2017","JLab","Puckett-17","2017-PR-C96-055203","10.1103/PhysRevC.96.055203"
"2020","BESIII","Ablikim-20","2020-PRL-124-042001","10.1103/PhysRevLett.124.042001"
"2020","SANE","Liyanage-20","2020-PR-C101-035206","10.1103/PhysRevC.101.035206"
# proton
"1966","SLAC","Janssens-66","1966-PR-142-922_Janssens","10.1103/PhysRev.142.922"
"1971","DESY","Berger-71","1971-PLB-35-87_Berger","10.1016/0370-2693(71)90448-5"
"1971","CEA","Price-71","1971-PRD-4-45_Price","10.1103/PhysRevD.4.45"
"1973","DESY","Bartel-73","1973-NPB-58-429_Bartel","10.1016/0550-3213(73)90594-4"
"1973","CEA","Hanson-73","1973-PRD-8-753_Hanson","10.1103/PhysRevD.8.753"
"1973","SLAC","Kirk-73","1973-PRD-8-63_Kirk","10.1103/PhysRevD.8.63"
