"Code","Particle","Quantity","Description"
"10","proton","G_E space-like",""
"11","proton","G_E time-like",""
"12","proton","G_M space-like",""
"13","proton","G_M time-like",""
"14","neutron","G_E space-like",""
"15","neutron","G_E time-like",""
"16","neutron","G_M space-like",""
"17","neutron","G_M time-like",""
"20","proton","G_E/G_M ratios","electron-positron annihilation"
"21","proton","G_E/G_M ratios","scattering with polarization transfer"
"22","neutron","G_E/G_M ratios",""
"101","pion","F_pi","e+e- -> pi+pi-"
"102","tau","F_pi","tau decay"
"103","pion","sigma_dressed","e+e- -> pi+pi-"
"110","pion","phase shift S",""
"120","pion","phase shift P",""
"130","pion","phase shift D",""
"201","delta","G_M^*",""
"202","delta","R_EM",""
"203","delta","R_SM",""
